"DatabaseClass text primary key","NATO_ASCC text","ModelClassId numeric","ClassificationId numeric","Cost numeric","Weight_kg numeric","Volume_m3 numeric","InitialYear numeric","FinalYear numeric","Country text","Designation text","ImageList text","IconFileName text","ModelFileName text","Description text","Notes text","Damage numeric","DamageModel text","LaunchSpeed_mps numeric","targetFlags numeric","MinLaunchAlt_m numeric","MaxLaunchAlt_m numeric","MinRange_km numeric","MaxRange_km numeric","ProbNoFaults numeric","PayloadClass text","PayloadQuantity numeric","DatalinkRange_km real","AcceptsUserCommands numeric","DetonationRange_m numeric","RCS_dBsm numeric","RCS_Model text","OpticalCrossSection_dBsm numeric","IRSignature_dB numeric","IR_ModelA text","IR_ModelB text","IR_ModelC text","EffectiveHeight_m numeric","DragArea_sm numeric","Gmax numeric","MaxTurnRate_degps numeric","Cdpsub numeric","Cdptran numeric","Cdpsup numeric","Mcm numeric","Msupm numeric","BoostThrust_N numeric","BoostTime_s numeric","SustThrust_N numeric","SustTime_s numeric","ShutdownSpeed_mps numeric","SensorClass text","NeedsFireControl numeric","AcceptsWaypoints numeric","Rng1_km numeric","Alt1_m numeric","AltMode1 numeric","GuidMode1 numeric","Rng2_km numeric","Alt2_m numeric","AltMode2 numeric","GuidMode2 numeric","Rng3_km numeric","Alt3_m numeric","AltMode3 numeric","GuidMode3 numeric","Rng4_km numeric","Alt4_m numeric","AltMode4 numeric","GuidMode4 numeric","Rng5_km numeric","Alt5_m numeric","AltMode5 numeric","GuidMode5 numeric","Rng6_km numeric","Alt6_m numeric","AltMode6 numeric","GuidMode6 numeric","Rng7_km numeric","Alt7_m numeric","AltMode7 numeric","GuidMode7 numeric","Rng8_km numeric","Alt8_m numeric","AltMode8 numeric","GuidMode8 numeric","DamageEffect text"
"RIM-162D","","5","64","0","279.5","0.25","2004","2999","","","","mis/icoRIM-162D.jpg","roland-sam.xml","RIM-162 ESSM Surface to Air Missile.  550kt target engaged at 50.8km","produced under 4 names, all RIM-162, all ESSM, but different sub models.  A is designed for launch from MK-41 VLS on an AEGIS ship.  B is also designed for the MK-41 launcher but is meant for non-AEGIS ships and lacks the uplink.  C is meant for MK-48 VLS launchers.  D is meant for the MK-29 box launcher.","7","BlastFragMis40kg","0","11","0","34567","0.5","36.1","0.85","","","0","0","8.172406931","-10.9","MissileRCS1","-2","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M4.6","0","1","50","136.6","0.018","0.0225","0.015","0.8","1.2","80000","6.9","0","0","400","ESSM seeker","1","0","0.01","12000","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-174","","5","64","5000000","1500","1","2012","2999","","","","mis/icoRIM-174.jpg","roland-sam.xml","RIM-174 ERAM Standard Missile 6. A long ranged naval SAM fitted with an AMRAAM seeker to enable over-the-horizon engagement of sea-skimming targets,","Contributed by greengills","62","BlastFragAir62.5kg","0","11","0","34567","1","370","0.85","","","0","0","13.77540064","-8.3","MissileRCS1","1.12","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M3.6","0","1","30","90","0.1","0.2","0.6","0.01","0.02","190000","330","0","0","100","AIM-120 Seeker","0","0","355","14000","0","1","37","14000","0","0","15","14000","2","0","0.01","14000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"RIM-174A","","5","64","0","1341","1","1900","2999","","","","mis/icoRIM-174A.jpg","roland-sam.xml","RIM-174 Surface to Air Missile.  550kt target engaged at 240km","The RIM-174 A is a fairly simple weapon.  it is the RIM-156, with a new seeker, that of the AIM-120C7.  replacing Greengills missile with this one.","6.2","BlastFragAir62.5kg","0","11","0","34567","0.5","166.3","0.85","","","0","0","13.77540064","-8.3","MissileRCS1","1.12","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M3.8","0","4.75","30","81.9","0.0336","0.042","0.028","0.8","1.2","350000","5","40000","10","500","AIM-120 Seeker","1","0","33","12500","0","0","0.1","8000","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-24A","","5","64","300000","580","1","1958","2999","","","","mis/icoRIM-24A.jpg","aim-9.xml","RIM-24A Tartar Surface to Air Missile 550kt target engaged at 14.6km","","27","BlastFragMis60kg","0","10","0","34567","2","7.5","0.55","","","0","0","9.638018192","-8.3","MissileRCS1","-1.6","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M1.8","0","1","15","79.643","0.072","0.09","0.06","0.8","1.2","120000","2.9","24000","12.5","400","RIM-2B Seeker","1","0","0.1","8000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"RIM-24B","","5","64","300000","590","1","1961","2999","","","","mis/icoRIM-24B.jpg","aim-9.xml","RIM-24B Tartar Surface to Air Missile 550kt target engaged at 30.3km","","27","BlastFragMis60kg","0","10","0","34567","2","19.4","0.6","","","0","0","9.638018192","-8.3","MissileRCS1","-1.6","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M2.1","0","1","15","79.643","0.048","0.06","0.04","0.8","1.2","120000","3.1","27000","14","400","RIM-2D Seeker","1","0","0.1","8000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"RIM-24C","","5","64","300000","550","1","1966","2999","","","","mis/icoRIM-24C.jpg","aim-9.xml","RIM-24C Tartar Surface to Air Missile 550kt target engaged at 33km","","27","BlastFragMis60kg","0","10","0","34567","2","21.5","0.85","","","0","0","9.638018192","-8.3","MissileRCS1","-1.6","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M2.2","0","1","15","79.643","0.048","0.06","0.04","0.8","1.2","120000","3.1","28000","14.5","400","RIM-2D Seeker","1","0","0.1","8000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"RIM-2B","","5","64","300000","1064","1","1963","2999","","","","mis/icoRIM-2B.jpg","aim-9.xml","RIM-2B Terrier Surface to Air Missile 550kt target engaged at 18.8km","Unknown  end date for the missile, but its presumed replaced by the RIM-2D, as well, NTU would have seen the end of the missile's era, that happened in ","27","BlastFragAir100kg","0","10","0","34567","2","10.7","0.7","","","0","0","17.05254655","-8.3","MissileRCS1","-1.6","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M1.8","0","1","10","49.391","0.072","0.09","0.06","0.8","1.2","225000","2.5","32000","14.3","430","RIM-2B Seeker","1","0","0.1","8000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"RIM-2C","","5","64","300000","1064","1","1963","2999","","","","mis/icoRIM-2C.jpg","aim-9.xml","RIM-2C Terrier Surface to Air Missile 550kt target engaged at 37km ","","27","BlastFragAir100kg","0","10","0","34567","2","25","0.75","","","0","0","17.05254655","-8.3","MissileRCS1","-1.6","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M2.3","0","1","10","47.196","0.072","0.09","0.06","0.8","1.2","225000","3","40500","19","450","RIM-2D Seeker","1","0","0.1","8000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"RIM-2F","","5","64","300000","1064","1","1964","2999","","","","mis/icoRIM-2F.jpg","aim-9.xml","RIM-2F Terrier Surface to Air Missile 550kt target engaged at 75.1km.","","27","BlastFragAir100kg","0","10","0","34567","2","53.3","0.8","","","0","0","17.05254655","-8.3","MissileRCS1","-1.6","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M2.9","0","1","10","47.196","0.048","0.06","0.04","0.8","1.2","262000","3","40000","28","450","RIM-2F Seeker","1","0","0.1","8000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"RIM-66A","","5","64","0","590","1","1967","2999","","","","mis/icoRIM-66A.jpg","roland-sam.xml","RIM-66A Surface to Air Missile.  550kt target engaged at 35.5km","","6.2","BlastFragMis62.5kg","0","11","0","34567","2","22.9","0.85","","","0","0","9.740679209","-8.3","MissileRCS1","1.12","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M2.7","0","4.75","30","81.9","0.024","0.03","0.02","0.8","1.2","90000","6.5","0","0","400","RIM-66A Seeker","1","0","0.1","1500","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-66B","","5","64","0","621","1","1971","2999","","","","mis/icoRIM-66B.jpg","roland-sam.xml","RIM-66B Surface to Air Missile.  550kt target engaged at 49.3km","","6.2","BlastFragMis62.5kg","0","10","0","34567","2","33","0.85","","","0","0","9.740679209","-8.3","MissileRCS1","1.12","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M2.8","0","4.75","30","81.9","0.024","0.03","0.02","0.8","1.2","120000","3","50000","7","400","RIM-66B/E Seeker","1","0","0.1","1500","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-66C","","5","64","0","621","1","1978","2999","","","","mis/icoRIM-66C.jpg","roland-sam.xml","RIM-66C Surface to Air Missile.  550kt target engaged at 73.6km","","6.2","BlastFragMis62.5kg","0","10","0","34567","2","48.5","0.85","","","0","0","9.740679209","-8.3","MissileRCS1","1.12","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M2.8","0","4.75","30","81.9","0.024","0.03","0.02","0.8","1.2","120000","3","50000","7","400","RIM-66C+ Seeker","1","0","33","8000","0","0","0.1","7500","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-66E","","5","64","0","621","1","1983","2999","","","","mis/icoRIM-66E.jpg","roland-sam.xml","RIM-66E Surface to Air Missile.  550kt target engaged at 49.3km","","6.2","BlastFragMis62.5kg","0","10","0","34567","2","33","0.85","","","0","0","9.740679209","-8.3","MissileRCS1","1.12","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M2.8","0","4.75","30","81.9","0.024","0.03","0.02","0.8","1.2","120000","3","50000","7","400","RIM-66B/E Seeker","1","0","0.1","1500","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-66G","","5","64","0","709","1","1983","2999","","","","mis/icoRIM-66G.jpg","roland-sam.xml","RIM-66G Surface to Air Missile.  550kt target engaged at 148km","","6.2","BlastFragMis62.5kg","0","10","0","34567","2","100","0.85","","","0","0","9.740679209","-8.3","MissileRCS1","1.12","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M3.2","0","4.75","30","81.9","0.024","0.03","0.02","0.8","1.2","120000","5","50000","7","400","RIM-66C+ Seeker","1","0","33","11250","0","0","0.1","7500","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-66H","","5","64","0","709","1","1983","2999","","","","mis/icoRIM-66H.jpg","roland-sam.xml","RIM-66H Surface to Air Missile.  550kt target engaged at 148km","","6.2","BlastFragMis62.5kg","0","10","0","34567","2","100","0.85","","","0","0","9.740679209","-8.3","MissileRCS1","1.12","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M3.2","0","4.75","30","81.9","0.024","0.03","0.02","0.8","1.2","120000","5","50000","7","400","RIM-66C+ Seeker","1","0","33","11250","0","0","0.1","7500","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-66J","","5","64","0","709","1","1983","2999","","","","mis/icoRIM-66J.jpg","roland-sam.xml","RIM-66J Surface to Air Missile.  550kt target engaged at 148km","","6.2","BlastFragMis62.5kg","0","10","0","34567","2","100","0.85","","","0","0","9.740679209","-8.3","MissileRCS1","1.12","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M3.2","0","4.75","30","81.9","0.024","0.03","0.02","0.8","1.2","120000","5","50000","7","400","RIM-66C+ Seeker","1","0","33","11250","0","0","0.1","7500","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-66K","","5","64","0","709","1","1988","2999","","","","mis/icoRIM-66K.jpg","roland-sam.xml","RIM-66K Surface to Air Missile.  550kt target engaged at 148km","","6.2","BlastFragMis62.5kg","0","10","0","34567","2","100","0.85","","","0","0","9.740679209","-8.3","MissileRCS1","1.12","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M3.2","0","4.75","30","81.9","0.024","0.03","0.02","0.8","1.2","120000","5","50000","7","400","RIM-66C+ Seeker","1","0","33","11250","0","0","0.1","7500","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-66L","","5","64","0","709","1","1988","2999","","","","mis/icoRIM-66L.jpg","roland-sam.xml","RIM-66L Surface to Air Missile.  550kt target engaged at 148km","","6.2","BlastFragMis62.5kg","0","10","0","34567","2","100","0.85","","","0","0","9.740679209","-8.3","MissileRCS1","1.12","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M3.2","0","4.75","30","81.9","0.024","0.03","0.02","0.8","1.2","120000","5","50000","7","400","RIM-66C+ Seeker","1","0","33","11250","0","0","0.1","7500","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-66M","","5","64","0","709","1","1988","2999","","","","mis/icoRIM-66M.jpg","roland-sam.xml","RIM-66M Surface to Air Missile.  550kt target engaged at 148km","","6.2","BlastFragMis62.5kg","0","10","0","34567","2","100","0.85","","","0","0","9.740679209","-8.3","MissileRCS1","1.12","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M3.2","0","4.75","30","81.9","0.024","0.03","0.02","0.8","1.2","120000","5","50000","7","400","RIM-66C+ Seeker","1","0","33","11250","0","0","0.1","7500","2","2","","","",",","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-67A","","5","64","0","1340","1","1968","2999","","","","mis/icoRIM-67A.jpg","roland-sam.xml","RIM-67A Surface to Air Missile.  550kt target engaged at 64.6km","","6.2","BlastFragMis62.5kg","0","11","0","34567","2","44.2","0.85","","","0","0","9.740679209","-8.3","MissileRCS1","1.12","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M2.6","0","4.75","30","141.588","0.053","0.066","0.044","0.8","1.2","200000","4","41000","25.6","450","RIM-66A Seeker","1","0","0.1","8500","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-67B","","5","64","0","1340","1","1978","2999","","","","mis/icoRIM-67B.jpg","roland-sam.xml","RIM-67B Surface to Air Missile.  550kt target engaged at 95.8km","","6.2","BlastFragMis62.5kg","0","10","0","34567","2","65.2","0.85","","","0","0","9.740679209","-8.3","MissileRCS1","1.12","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M2.8","0","4.75","30","141.588","0.053","0.066","0.044","0.8","1.2","200000","4","41000","25.6","450","RIM-66C+ Seeker","1","0","33","9350","0","0","0.1","7500","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-67C","","5","64","0","1340","1","1981","2999","","","","mis/icoRIM-67C.jpg","roland-sam.xml","RIM-67C Surface to Air Missile.  550kt target engaged at 186.6km","","6.2","BlastFragMis62.5kg","0","10","0","34567","2","126.1","0.85","","","0","0","9.740679209","-8.3","MissileRCS1","1.12","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M3","0","4.75","30","141.588","0.053","0.066","0.044","0.8","1.2","200000","6","25000","42.15","450","RIM-66C+ Seeker","1","0","33","12500","0","0","0.1","7500","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-67D","","5","64","0","1340","1","1986","2999","","","","mis/icoRIM-67D.jpg","roland-sam.xml","RIM-67D Surface to Air Missile.  550kt target engaged at 193.2km","","6.2","BlastFragMis62.5kg","0","10","0","34567","2","136.7","0.85","","","0","0","9.740679209","-8.3","MissileRCS1","1.12","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M3.4","0","4.75","30","81.9","0.053","0.066","0.044","0.8","1.2","200000","6","27500","42","450","RIM-66C+ Seeker","1","0","33","12800","0","","0.1","7500","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-7E","","5","64","300000","197","0.5","1967","1975","","","","mis/icoRIM-7E.jpg","aim-9.xml","RIM-7E Sea Sparrow Surface to Air Missile 550kt target engaged at 22.2km  ETA 31.7 seconds.","essentially an unmodified AIM-7E, launched from a ship, the AIM-7.  permiting a slightly lower shutdown speed for the shipborne launch of this weapon.","27","BlastFragAir30kg","0","10","0","34567","2","13.3","0.85","","","0","0","10.34494944","-12.8","MissileRCS1","-1.6","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M2.4","0","1","30","212.382","0.024","0.03","0.02","0.8","1.2","35000","7.5","0","0","300","AIM-7E seeker","1","0","0.1","8000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"RIM-7M(v1)","","5","64","0","225","0.5","1983","1985","","","","mis/icoRIM-7Mv1.jpg","roland-sam.xml","RIM-7M SeaSparrow Missile.  550kt target engaged at 41km  ETA 44 seconds.","the (v1) and (v2) versions of the RIM-7M are essential due to how GCB handles its FC requirements, launchers, and missiles.  It is not possible for a seeker limited RIM-7 given an initial nav point to remain angle restricted, it is not possible for a seeker limited RIM-7 to be fired from VLS without the intial nav point.  thus we need two separate missiles.","8","BlastFragMis35kg","0","10","0","34567","0.5","28.6","0.85","","","0","0","7.81691307","-12.8","MissileRCS1","-2","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M2.5","0","1","20","54.6","0.024","0.03","0.02","0.8","1.2","70000","3","17000","16","400","RIM-7P(v1) seeker","1","0","0.1","8000","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-7M(v2)","","5","64","0","225","1","1983","1995","","","","mis/icoRIM-7Mv2.jpg","roland-sam.xml","RIM-7M SeaSparrow Missile.  550kt target engaged at 42.8km  ETA 46 seconds.","the (v1) and (v2) versions of the RIM-7M are essential due to how GCB handles its FC requirements, launchers, and missiles.  It is not possible for a seeker limited RIM-7 given an initial nav point to remain angle restricted, it is not possible for a seeker limited RIM-7 to be fired from VLS without the intial nav point.  thus we need two separate missiles.","8","BlastFragMis35kg","0","10","0","34567","0.5","29.8","0.85","","","0","0","7.81691307","-12.8","MissileRCS1","-2","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M2.5","0","1","20","54.6","0.024","0.03","0.02","0.8","1.2","70000","3","17000","16","400","RIM-7P seeker","1","0","0.1","8000","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-7P(v1)","","5","64","0","225","0.5","1987","2999","","","","mis/icoRIM-7Pv1.jpg","roland-sam.xml","RIM-7P SeaSparrow Missile.  550kt target engaged at 41km  ETA 44 seconds.","the (v1) and (v2) versions of the RIM-7P are essential due to how GCB handles its FC requirements, launchers, and missiles.  It is not possible for a seeker limited RIM-7 given an initial nav point to remain angle restricted, it is not possible for a seeker limited RIM-7 to be fired from VLS without the intial nav point.  thus we need two separate missiles.","8","BlastFragMis35kg","0","10","0","34567","0.5","28.6","0.85","","","0","0","7.81691307","-12.8","MissileRCS1","-2","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M2.5","0","1","20","54.6","0.024","0.03","0.02","0.8","1.2","70000","3","17000","16","400","RIM-7P(v1) seeker","1","0","0.1","8000","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-7P(v2)","","5","64","0","225","1","1987","2999","","","","mis/icoRIM-7Pv2.jpg","roland-sam.xml","RIM-7P SeaSparrow Missile.  550kt target engaged at 42.8km  ETA 46 seconds.","the (v1) and (v2) versions of the RIM-7P are essential due to how GCB handles its FC requirements, launchers, and missiles.  It is not possible for a seeker limited RIM-7 given an initial nav point to remain angle restricted, it is not possible for a seeker limited RIM-7 to be fired from VLS without the intial nav point.  thus we need two separate missiles.","8","BlastFragMis35kg","0","10","0","34567","0.5","29.8","0.85","","","0","0","7.81691307","-12.8","MissileRCS1","-2","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M2.5","0","1","20","54.6","0.024","0.03","0.02","0.8","1.2","70000","3","17000","16","400","RIM-7P seeker","1","0","0.1","8000","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RIM-8A","","5","64","300000","1540","1","1959","1979","","","","mis/icoRIM-8A.jpg","aim-9.xml","RIM-8A Talos Surface to Air Missile 550kt target engaged at 91.8km","","27","BlastFragAir105kg","0","10","0","34567","2","60","0.65","","","0","0","17.29389094","0.9","MissileRCS1","-1.6","0","IR_M_VL_LP_M0.85","Default","IR_M_VL_LP_Super_M2.6","0","1","10","47.196","0.072","0.09","0.06","0.8","1.2","140000","5.5","40000","31.5","450","RIM-2B Seeker","1","0","12","11000","0","0","0.01","0.01","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"RIM-8C","","5","64","300000","1540","1","1960","1979","","","","mis/icoRIM-8C.jpg","aim-9.xml","RIM-8C Talos Surface to Air Missile 550kt target engaged at 181km","","27","BlastFragAir105kg","0","10","0","34567","2","120.2","0.7","","","0","0","17.29389094","-0.9","MissileRCS1","-1.6","0","IR_M_VL_LP_M0.85","Default","IR_M_VL_LP_Super_M3.2","0","1","10","47.196","0.072","0.09","0.06","0.8","1.2","140000","7","40000","31","450","RIM-2B Seeker","1","0","15","14850","0","0","0.01","0.01","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"RIM-8E","","5","64","300000","1540","1","1962","1979","","","","mis/icoRIM-8E.jpg","aim-9.xml","RIM-8E Talos Surface to Air Missile 550kt target engaged at 181km","","27","BlastFragAir105kg","0","10","0","34567","2","120.2","0.8","","","0","0","17.29389094","0.9","MissileRCS1","-1.6","0","IR_M_VL_LP_M0.85","Default","IR_M_VL_LP_Super_M3.2","0","1","10","47.196","0.072","0.09","0.06","0.8","1.2","140000","7","40000","31","450","RIM-2B Seeker","1","0","15","14850","0","0","0.01","0.01","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"RIM-8F","","5","64","300000","1540","1","1965","1979","","","","mis/icoRIM-8F.jpg","aim-9.xml","RIM-8F Talos Surface to Air Missile 550kt target engaged at 181km","","27","BlastFragAir105kg","0","10","0","34567","2","120","0.82","","","0","0","17.29389094","0.9","MissileRCS1","-1.6","0","IR_M_VL_LP_M0.85","Default","IR_M_VL_LP_Super_M3.2","0","1","10","47.196","0.072","0.09","0.06","0.8","1.2","140000","7","40000","31","450","RIM-2B Seeker","1","0","15","14850","0","0","0.01","0.01","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"RIM-8J","","5","64","300000","1540","1","1968","1979","","","","mis/icoRIM-8J.jpg","aim-9.xml","RIM-8J Talos Surface to Air Missile 550kt target engaged at 240km","","27","BlastFragAir105kg","0","10","0","34567","2","164.6","0.9","","","0","0","17.29389094","0.9","MissileRCS1","-1.6","0","IR_M_VL_LP_M0.85","Default","IR_M_VL_LP_Super_M3.2","0","1","10","47.196","0.072","0.09","0.06","0.8","1.2","140000","7","30000","57","450","RIM-2B Seeker","1","0","15","15000","0","0","0.01","0.01","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"RPK-3 Metel","SS-N-14 Silex","5","64","0","3930","3","1900","2999","","","","mis/icoRPK-3.jpg","mm-38.xml","Ship-Surface Russian Surface to Air Missile - Mach 0.9, Range 55 km, ETA 4 Minutes, 27 Seconds","","750","Harmless","0","17","0","34567","2","55","0.85","AT-2M.d","1","0","0","0","-0.2","MissileRCS1","4.73","0","IR_M_VL_R_M0.85","Default","IR_M_VL_R_Super_M1.1","0","1","5","36.4","0.0408","0.051","0.034","0.8","1.2","211000","6","0","0","150","SS-N-14 seeker","0","0","1","200","0","1","0.25","0","0","3","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RPK-6 Vodopod","SS-N-15 Starfish","5","64","300000","1800","3","1900","2999","","","","mis/icoRPK-6.jpg","mm-38.xml","SS-N-15 RPK-2 Viyoga Starfish 431kts at 100m. 37km Range ETA 2 Minutes 58 Seconds.  Deploys UMGT-1M Torpedo","","0","Harmless","0","17","-150","34567","1","37","0.85","UMGT-1M.d","1","0","0","0","-2.7","MissileRCS1","4.66","0","IR_M_L_LP_M0.85","Default","IR_M_L_LP_Super_M1.1","0","6.43","5","28.8","0.36","0.45","0.3","0.8","1.2","170000","1.5","21500","168","190","","0","0","1","50","0","1","0.25","10","0","3","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RPK-7 Veter","SS-N-16 Stallion","5","64","300000","2850","3","1900","2999","","","","mis/icoRPK-7.jpg","mm-38.xml","SS-N-16 RPK-6 Veder Stallion 431kts at 100m.  100km Range ETA 7 minutes 39 Seconds.  Deploys UMGT-1M Torpedo.","","0","Harmless","0","17","-150","34567","1","100","0.85","USET-80.d","1","0","0","0","-4.5","MissileRCS1","5.23","0","IR_M_L_LP_M0.85","Default","IR_M_L_LP_Super_M1.1","0","6.43","5","28.8","0.36","0.45","0.3","0.8","1.2","170000","2.5","21500","452","190","","0","0","1","50","0","1","0.25","10","0","3","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg2"
"RUM-139 Mod4 ASROC","","5","64","300000","487","1","1993","2999","","","","mis/icoRUM-139.jpg","RUR-5 ASROC.xml","RUM-139 VL-ASROC 431kts at 300m.  15km Range ETA 70 seconds Deploys mk-46 mod 5 Torpedo.","","0","Harmless","0","17","-30","34567","1","15","0.85","Mk-46 Mod5","1","0","0","0","-7.9","MissileRCS1","1","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M1.1","0","6.43","5","30.3","0.012","0.015","0.01","0.8","1.2","22000","6.55","0","0","180","","0","0","1","300","0","1","0.75","50","0","3","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RUR-4","","5","64","300000","227","3","1900","2999","","","","mis/icoRUR-4.jpg","RUR-5 ASROC.xml","","","0","Harmless","0","16","-30","34567","0","0.8","0.85","RUR-4 DC","1","0","0","0","-7.9","MissileRCS1","1","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M1.1","0","6.43","5","129.5","0.00012","0.00015","0.0001","0.8","1.2","105650","0.16","0","0","82","","0","0","0.2","1","0","1","0.1","1","0","3","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"RUR-5 ASROC","","5","64","300000","487","3","1961","1996","","","","mis/icoRUR-5.jpg","RUR-5 ASROC.xml","RUR-5 ASROC 431kts at 300m.  22km Range ETA 70 seconds Deploys mk-44 Torpedo.","","0","Harmless","0","17","-30","34567","1","22","0.85","Mk-44","1","0","0","0","-7.9","MissileRCS1","1","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M1.1","0","6.43","5","30.3","0.012","0.015","0.01","0.8","1.2","22000","6.55","0","0","180","","0","0","1","300","0","1","0.75","50","0","3","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
