"DatabaseClass text primary key","NATO_ASCC text","ModelClassId integer","ClassificationId integer","Cost numeric","Weight_kg numeric","Volume_m3 numeric","InitialYear numeric","FinalYear numeric","Country text","Designation text","ImageList text","IconFileName text","ModelFileName text","Description text","Notes text","MaxSpeed_kts numeric","Accel_ktsps numeric","TurnRate_degps numeric","FuelCapacity_kg numeric","FuelRate_kgps real","Toughness numeric","DamageEffect text","Draft_m real","FlightportClass text","RCS_dBsm real","RCS_Model text","OpticalCrossSection_dBsm real","IRSignature_dB real","IR_ModelA text","IR_ModelB text","IR_ModelC text","EffectiveHeight_m numeric","TS numeric","TS_Model text","AcousticModel text","SL_Model text"
"Pr 1155 Fregat","Udaloy","2","18","0","8500000","0","1981","3000","Russia","DD","udaloy.jpg","none","sovremenny.xml","The Project 1155/1155.1 Fregat, also knwon as the Udaloy, class destroyers have been designed to engage submarines employing onboard weapons as well as two Ka-27 helicopters. They feature two helicopter hangars and flight deck. These features overcome the shortfalls detected on Krivak-series anti-submarine frigates. In addition, 8 Klinok SAM systems, one 100mm AK-100 multifunction gun and 30mm AK-630 close-in weapons have been provided for ship self-defense.","","29","0.14","9.71","1190000","0.672440831","685","Ship10000Dmg","6.2","Single Helo Hangar","48.487","ShipRCS1","33.924","26.893","ShipIR1","Default","Default","10","20","Default","S04.Destroyer","Default"
"Pr 11551 Fregat-M","Udaloy II","2","18","0","8900000","0","1999.07","3000","Russia","DD","udaloy2.jpg","none","sovremenny.xml","The project 1155.1, also known as Udaloy II, is an improved derivative of the Project 1155 ship featuring eight Moskit supersonic anti-ship missiles instead of Musson anti-submarine missile, one 130mm two-barrel AK-130 gun replacing the AK-100 gun, and additional 2 Kasthan close-in weapon systems with 64 missiles. There is only a single Udaloy II destroyer in service with the Russian Navy. ","","30","0.13","9.48","1246000","0.704085105","685","Ship10000Dmg","6.2","Double Helo Hangar","48.786","ShipRCS1","33.923","26.905","ShipIR1","Default","Default","10","20","Default","S05.Destroyer Silenced","Default"
"Pr 1159TR Koni","Koni","1","17","0","1900000","0","1900","2999","Special","FF","","none","sovremenny.xml","","","29","0.21","11.56","266000","0.229874557","74","Ship1000Dmg","10","","38.727","ShipRCS1","31.725","23.478","ShipIR1","Default","Default","4.6","20","Default","S02.Frigate","Default"
"Pr 1159TR Koni(Libya)","Koni(Libya)","1","17","0","1900000","0","1986.49","3000","Libya","FF","","none","sovremenny.xml","","","29","0.21","11.56","266000","0.229874557","74","Ship1000Dmg","10","","38.727","ShipRCS1","31.725","23.478","ShipIR1","Default","Default","4.6","20","Default","S02.Frigate","Default"
"Pr 1164 Atlant","Slava","2","18","0","11490000","0","1982.99","3000","Russia","CG","","none","sovremenny.xml","The design started in the late 1960s and was based around the P-500 Bazalt missile, as a less expensive, conventional alternative to the nuclear powered Kirov class battlecruiser. There was a long delay in the programme, while the problems with this weapon were resolved. These ships acted as flagships for numerous task forces. All ships were built at the 61 Kommunar yard, in Mykolaiv, Ukraine (Nikolaev). The class was a follow up to the Kara class cruiser, constructed at the same shipyard and appears to be built on a stretched version of Kara hull.The Slava class was initially designated BLACKCOM 1 (Black Sea Combatant 1) and then designated the Krasina class for a short period until Slava was observed at sea. The SS-N-12 launchers are fixed facing forward at around 8Ãƒâ€šÃ‚Â° elevation with no reloads available. As there was nothing revolutionary about the design of the class western observers felt they were created as a hedge against the failure of the more radical Kirov class. The helicopter hangar deck is located 1/2 deck below the landing pad with a ramp connecting the two.Orginaly 10 ships were planned but with the collapse of the Soviet union only 3 vessels were completed with a fourth one launched but never comissioned.","","32","0.14","9.98","1608600","0.830538054","872","Ship10000Dmg","10","Single Helo Hangar","50.45","ShipRCS1","34.471","23.973","ShipIR1","Default","Default","11.5","20","Default","S06.Cruiser","Default"
"Pr 11661 Yastreb","Gepard","1","17","0","1930000","0","2003.66","3000","Russia","FF","","none","sovremenny.xml","The Gepard (Cheetah) class frigates (Project 1166.1) were intended as a successor to the earlier Koni, Grisha, and Parchim-class corvettes. The first unit of the class, Yastreb (Hawk), was laid down at the Zelenodol'slk Zavod shipyard at Tartarstan in 1991. It was launched in July 1993, after which it began fitting out. It was nearly completed by late 1995, when fitting was suspended due to lack of funds. Renamed Tartarstan, she was finally completed in July 2002, and is now serving as the flagship of the Caspian Flotilla. She has two sisters ships, the Albtross (renamed to Dagestan) which has been completed and the Burevestnik (Storm Petrel) which is still under construction.These vessels are capable of employing weapons in up to Sea State 5. The hull and superstructure are constructed primarily of steel, with some aluminium-magnesium being used in the upper superstructure. They are equipped with fin stabilizers and twin rudders, and can use either gas turbines and diesel for propulsion in a CODOG configuration.","","26","0.18","10.68","270200","0.150109814","149","Ship1000Dmg","10","","38.829","ShipRCS1","32.081","23.483","ShipIR1","Default","Default","4.6","20","Default","S03.Frigate Silenced","Default"
"Pr 1171 Tapir","Alligator","1","18","0","4700000","0","1966.63","3000","Russia","LS","tapir.jpg","none","sovremenny.xml","Alligator LSTM (Project 1171 Tapir)","","18","0.1","7.82","517000","0.205156958","69","Ship5000Dmg","4.46","","44.627","ShipRCS1","32.847","18.184","ShipIR1","Default","Default","14","20","Default","S002.Merchant Medium","Default"
"Pr 1206 Kalmar","Lebed","1","17","0","87000","0","1972.99","3000","Russia","LCJ","","none","sovremenny.xml","The Lebed class (Project 1206 Kalmar) is a medium size assault hovercraft designed for the Soviet Navy. The few remaining craft are operated by the Russian Navy.  The Lebed class is the Russian Navy equivalent to the U.S. Navy LCAC, thought the U.S. version entered service seven years later. The Lebed class entered service in 1975, and by the early 1990s twenty had been produced. The ship has a bow ramp with a gun on the starboard side and the bridge to port. The Lebed class can be carried by the 'Ivan Rogov' class assault transport ships. The type began to be withdrawn following the fall of the Soviet Union, and by 2004 only three remained. Number 533 is in the Northern Fleet, while 639 and 640 took part in the Caspian Sea exercises of 2002.","","50","0.82","21.85","12180","0.563884017","3","Ship100Dmg","10","","18.638","ShipRCS1","30.422","25.647","ShipIR1","Default","Default","2","15","Default","S13.HoverCraft","Default"
"Pr 12321 Dzheyran","Aist","1","17","0","298000","0","1974.53","3000","Russia","LCJ","aist.jpg","none","sovremenny.xml","Built at the Leningrad Shipyards, the air-cushion vehicle known to NATO as the 'Aist' class is the Soviets' first large ACV design, and while similar in general appearance to the British SR.N4 Mk 2 'Mountbatten' class is much heavier. The prototype was launched in 1970 and following extensive testing the class entered series production in 1975. Since then several variants have been built, these differing in fin height, overall length, superstructure detail and armament configuration. Some 'Aists' are in service at present, and more are being built Used as an amphibious assault and logistic supply ACV, the 'Aist' can deliver Naval Infantry, armoured vehicles and supplies to beach-heads which can be well inland. Only two of the Soviet fleets (the Baltic and Black Sea Fleets) deploy the 'Aists'. Large bow and stern loading ramps provide through-ship operations, and typical payloads for the craft are two MBTs of the T-S4/T-55/T-62/T-72 or T-74 type, four PT-76 light amphibious tanks and 50 Naval Infantry, three BTR-60/70/BMP-1/2 APCs and 100 Naval Infantry, four trucks and 100 Naval Infantry, 220 Naval Infantry or up to 50 or 60 tons of supplies.","","70","0.78","21.31","41720","1.577362916","9","Ship200Dmg","1","","26.659","ShipRCS1","32.658","25.982","ShipIR1","Default","Default","2.4","15","Default","S13.HoverCraft","Default"
"Pr 12322 Zubr","Pomornik","1","17","0","550000","0","1988.77","2011","Russia","LCJ","","none","sovremenny.xml","The Zubr (Bison) is the world's largest air-cushion vehicle. This Russian Air Cushion Landing Craft, known by the NATO codename Pomornik [Skua], came into service in 1986. The mission of the ships is to carry out rapid sea-lift and beach landing of assault troops and combat material on territory held by hostile forces. The ships also provides fire support for the troop operations on shore. The ships are capable of laying active minefields.The ships are equipped with two stabilised multiple rocket launchers, four Igla-1M portable air defence missile systems, and two AK-630 30 mm automatic gun mounts. The Zubr Class ships can carry up to 130 tons of cargo: three medium battle tanks such as the T-80B tank, or eight BMP-2 infantry combat vehicles, or ten BTR-70 armoured personnel carriers, or 360 fully equipped amphibious landing troops. The ships have a bow and a stern ramp for fast landing of troops and combat material. The ships have a top speed of 60 knots. It can move on sea surface, sandbanks, marshes and overcomes obstacles up to 2 meters. ","","63","0.59","19.03","77000","1.752053421","17","Ship500Dmg","10","","30.651","ShipRCS1","34.377","26.149","ShipIR1","Default","Default","3.5","20","Default","S13.HoverCraft","Default"
"Pr 1234 Ovod","Nanuchka I","1","17","0","639000","0","1970.75","2005.47","Russia","FSG","nanuchka1.jpg","none","sovremenny.xml","Project 1234 'Ovod' (NATO: Nanuchka I) was a series of missile corvettes built for the Soviet Navy between 1971 and 1981. This heavily armed vessel featured more advanced missiles, and greater gun and air defense capability compared to previous Soviet missile ships. The considerable firepower and advanced sensors packed into such a small platform apparently resulted in poor sea-keeping.These ships were designed around the P-120 'Malakhit' (NATO: SS-N-9 'Siren') anti ship missile. They also included a SAM and 57mm AA guns.","[kbluck]","35","0.29","13.79","89460","0.087705125","50","Ship500Dmg","2.4","","31.628","ShipRCS1","31.05","17.608","ShipIR1","Default","Default","3.5","15","Default","S01.Patrol Craft","Default"
"Pr 12341 Ovod-1","Nanuchka III","1","17","0","639000","0","1977.99","3000","Russia","FSG","nanuchka3.jpg","none","sovremenny.xml","Project 12341 'Ovod-1' (NATO: Nanuchka III) was an upgraded version of the Project 1234 (NATO: Nanuchka I) missile corvettes. This upgrade was built for the Soviet Navy between 1977 and 1991. This heavily armed vessel featured more advanced missiles, and greater gun and air defense capability compared to previous Soviet missile ships. The considerable firepower and advanced sensors packed into such a small platform apparently resulted in poor sea-keeping.These ships retained the P-120 'Malakhit' (NATO: SS-N-9 'Siren') anti ship missile and the SAM system, but upgraded their gun battery to a 76mm deck gun, and added a 30mm close-in point defense gun.Reportedly, it was Mirazh, a Project 12341 corvette, that sank a Georgian vessel during an attempted attack on Russian ships near Abkhazia's coast on August 10, 2008.","","34","0.29","13.79","89460","0.085199264","50","Ship500Dmg","2.4","","31.628","ShipRCS1","31.05","17.608","ShipIR1","Default","Default","3.5","15","Default","S01.Patrol Craft","Default"
"Pr 12347 Nakat","Nanuchka IV","1","17","0","639000","0","1987.75","3000","Russia","FSG","nanuchka4.jpg","none","sovremenny.xml","Project 12347  Nakat' (NATO: Nanuchka IV) was a trials ship and only one unit was built. It was essentially a Project 12341 'Ovod-1' with a new missile fit. The P-120 'Malakhit' (NATO: SS-N-9 'Siren') anti ship missile was replaced by two sextuple P-800 'Oniks' (NATO: SS-N-26).","Only one ship commissioned","34","0.29","13.79","89460","0.085199264","50","Ship500Dmg","2.4","","31.628","ShipRCS1","31.05","17.608","ShipIR1","Default","Default","3.5","15","Default","S01.Patrol Craft","Default"
"Pr 1234E Ovod-E (Libya)","Nanuchka II (Libya)","1","17","0","569000","0","1981.75","3000","Libya","FSG","nanuchka2.jpg","none","sovremenny.xml","Project 1234E Ovod-E (NATO: Nanuchka II) class was the export version of Project 1234 Ovod (NATO: Nanuchka I) missile corvettes built for Soviet export customers between 1976 and 1984. These export ships were designed to carry the P-15 'Termit' (NATO: SS-N-2C 'Styx') anti-ship missile and export-quality electronics. They were otherwise similar to the Soviet ships.Libya purchased a total of 4, delivered between 1981 and 1985. Ean Zaquit was sunk on 24 March 1986 by US forces and Ean Mara severely damaged the next day. Ean Mara was sent to Leningrad for refit and finally returned to service in 1991, renamed as Tariq Ibn Ziyad. Ean Zara and Ean Al Gazala were struck by NATO forces on 20 May 2011 while moored in Tripoli harbor. Tariq Ibn Ziyad was apparently captured by rebel forces in Benghazi and survives.","","34","0.29","13.79","63900","0.085199264","50","Ship500Dmg","2.74","","30.872","ShipRCS1","31.05","17.577","ShipIR1","Default","Default","3.5","15","Default","S01.Patrol Craft","Default"
"Pr 1239 Sivuch","Bora","1","17","0","1050000","0","1998.21","3000","Russia","PGG","","none","sovremenny.xml","The Bora-class hoverborne guided missile corvette of the Russian Navy, also bears the NATO class name Dergach, is one of the few types of military Surface Effect Ship built solely for marine combat purposes, rather than troop landing or transport. Its designation in the Soviet and Russian navies is Project 1239; the first vessel produced under this designation was Sivuch, which was later renamed Bora. It is one of the largest combat sea vehicles with catamaran design.","","53","0.42","16.41","147000","0.195998307","81","Ship1000Dmg","10","","34.863","ShipRCS1","32.681","26.324","ShipIR1","Default","Default","4.6","20","Default","S13.HoverCraft","Default"
"Pr 1241.1 Molniya","Tarantul II","1","17","0","436000","0","1981.24","3000","Russia","FSG","tarantul2.jpg","none","sovremenny.xml","Project 1241.1 (NATO: Tarantul II) was based on the Pauk-class hull, though with a significant added amount of weight. Primary armament consists of four SS-N-2C 'Styx' ship-to-ship missiles (either the 40 km range P-15 'Termit' missile or the later P-20 variant with 80 km range) and the associated 'Monolit' radar targeting system (45 km range in active mode of surveillance, 75Ãƒâ€šÃ¢â‚¬â€œ100 km range in passive mode, with an added air surveillance capability).","[kbluck]","42","0.36","15","61040","0.148359829","35","Ship500Dmg","2.5","","29.138","ShipRCS1","30.406","23.077","ShipIR1","Default","Default","2.4","15","Default","S01.Patrol Craft","Default"
"Pr 1241.1M Molniya-M","Tarantul III","1","17","0","460000","0","1981.99","3000","Russia","FSG","tarantul3.jpg","none","sovremenny.xml","1241.1M (Nato: Tarantul-III) received important upgrades while retaining the main armament and basic hull form of the 1241.1 (NATO: Tarantul-II) class. Most significant was the installation of four SS-N-22 'Sunburn' supersonic anti-ship missiles and associated fire control. The SAM was upgraded to a SA-N-8 quadruple MANPAD launcher. The power plant was changed to CODAG with max speed increasing to 42 knots.","","42","0.5","15","64400","0.156526425","35","Ship500Dmg","2.5","","29.487","ShipRCS1","30.406","23.091","ShipIR1","Default","Default","2.4","15","Default","S01.Patrol Craft","Default"
"Pr 1241.1MR Molniya-MR","Tarantul III Mod","1","17","0","460000","0","1981.99","3000","Russia","FSG","tarantul3.jpg","none","sovremenny.xml","1241.1MR (NATO: Tarantul-III Mod) was identical to the 1241.1M (NATO: Tarantul-III) class, with the exception of upgraded P-270 'Moskit-M' anti-ship missiles.","[kbluck]","42","0.5","15","64400","0.156526425","35","Ship500Dmg","2.5","","29.487","ShipRCS1","30.406","23.091","ShipIR1","Default","Default","2.4","15","Default","S01.Patrol Craft","Default"
"Pr 1241.RE Molniya-E","Tarantul I","1","17","0","415000","0","1981.24","3000","Russia","FSG","tarantul1.jpg","none","sovremenny.xml","Project 1241.RE (NATO: Tarantul I) was an export version of Project 1241.1 (NATO: Tarantul II). Primary differences include the missiles updated to P-20K (SS-N-2D) and fire control radar 'Plank Shave' atop mast.","","42","0.36","14.99","58100","0.102701133","35","Ship500Dmg","2.5","","28.816","ShipRCS1","30.406","23.063","ShipIR1","Default","Default","2.4","15","Default","S01.Patrol Craft","Default"
"Pr 1265 Yakhont","Sonya","1","17","0","450000","0","1973","2999","Russia","MS","","none","sovremenny.xml","A wooden hulled coastal minehunter, built as a successor to the Vanya class with new sweeps and more effective sonar. A central safe explosion proof area is fitted and all key systems can be remote controlled from there.","","15","0.15","9.51","63000","0.116665659","34","Ship500Dmg","10","","29.344","ShipRCS1","29.72","17.499","ShipIR1","Default","Default","8","15","Default","S001.Merchant Small","Default"
"Pr 12660 Rubin","Gorya MHOM","1","17","0","1130000","0","1988.99","3000","Russia","MH","","none","sovremenny.xml","The Gorya class are a group of minesweepers built for the Soviet Navy in the late 1980s. Three ships were started of which two were completed and are in service with the Russian Navy. The Soviet Designation was Project 1266.[edit] ","","15","0.12","8.37","158200","0.195306955","87","Ship1000Dmg","10","","35.342","ShipRCS1","30.862","17.762","ShipIR1","Default","Default","11","20","Default","S001.Merchant Small","Default"
"Pr 14310 Mirazh","Mirage","1","17","0","126000","0","2001.57","2999.9","Russia","wPBC","","none","sovremenny.xml","The Mirage project 14310 fast patrol boat is designed by the Almaz Central Marine Design Bureau in Saint Petersburg and production is underway at the Vympel Joint Stock Shipbuilding Association in the town of Rybinsk in the Yaroslavl Region of Russia.The role of the Mirage fast patrol boat is to carry out protection of territorial waters and exclusive economic zones, and to provide support to police, coastguard and customs forces. In August 2008, it was deployed by the Russian Navy in a naval encounter with Georgia.","","48","0.7","19.93","17640","0.026133108","6","Ship100Dmg","10","","21.051","ShipRCS1","28.504","17.146","ShipIR1","Default","Default","2","15","Default","S01.Patrol Craft","Default"
"Pr 1559V Morskoy Prostor","Boris Chilikin AOR","1","18","0","23450000","0","1970.83","3000","Russia","AOR","borischilikin.jpg","none","sovremenny.xml","Class of 6 replenishment oilers, a slightly modified version of the civilian Velikiy Oktyabr class. Have only a minimal dry cargo/stores replenishment capability. Leadship of the class has been transferred to the Ukraine. ","","17","0.07","6.36","2579500","0.580041285","342","Ship20000Dmg","10","","55.098","ShipRCS1","34.498","18.662","ShipIR1","Default","Default","20","20","Default","S002.Merchant Medium","Default"
"Pr 1791","Amga AEM","1","18","0","6350000","0","1900.1","3000","Russia","AEM","","none","sovremenny.xml","Ballistic missile transport to support SSBNs. Design is similar to a small freighter or tanker, and the missiles appear to be carried flat on deck.","Need photo for this one","16","0.08","7.04","698500","0.287932038","93","Ship5000Dmg","10","","46.587","ShipRCS1","33.59","21.223","ShipIR1","Default","Default","14","20","Default","S002.Merchant Medium","Default"
"Pr 1826 Rubidiy","Balzam AGIM","1","18","0","4500000","0","1980.1","3000","Russia","AGI","balzam.jpg","none","sovremenny.xml","The first, and the largest, purpose-built ELINT ships. Equipped for UNREP.","","20","0.11","8.37","495000","0.160415281","66","Ship5000Dmg","10","","44.344","ShipRCS1","32.725","18.167","ShipIR1","Default","Default","14","20","Default","S002.Merchant Medium","Default"
"Pr 20380 Steregushchiy","Steregushchiy","1","17","0","1900000","0","2007.87","3000","Russia","FF","","none","sovremenny.xml","The Steregushchy class corvette was designed by the Almaz Central Marine Design bureau and designated Project 2038.0 (or 20380) by the Russian Government. This is the newest corvette of the Russian Navy.  Multipurpose, very large corvette designed to replace the Grisha class. The first batch being built at the Severnaya Verf shipyard in St. Petersburg consists of four ships. A second building line has been started at Komsomolsk where orders for at least a further two ships are expected. There is an export version known as Project 20382 Tigr.  In total, the Russian Navy has publicly announced that they expect to buy at least 20 of these ships, for all four major fleets. The Indonesian Navy has plans to purchase 4 vessels of this type to replace their aging Dutch-built Fatahillah class corvettes.  According to Jane's Naval Forces News, the first vessel was commissioned on 14 November 2007.","","26","0.18","10.7","266000","0.258608877","148","Ship1000Dmg","10","","31.737","ShipRCS1","32.21","12.674","ShipIR1","Default","Default","4.6","20","Default","S03.Frigate Silenced","Default"
"Pr 205 Tsunami (Algeria)","Osa I (Algeria)","1","17","20000000","171500","0","1967.77","2003","Algeria","PTG","","NONE","sovremenny.xml","The Project 205 Tsunami, more commonly known by their NATO reporting name Osa, are a class of missile boats developed for the Soviet Navy in the early 1960s. The Osas are probably the most numerous class of missile boats ever built, with over 400 vessels constructed for both the Soviet Navy and for export to allied countries. 'Osa' means 'wasp' in Russian, but it is not an official name. The boats were designated as 'large missile cutters' in the Soviet Navy.","","38.5","1.5","11","24010","0.051873009","200","Ship200Dmg","10","","23.06","ShipRCS1","29.003","17.232","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Pr 205 Tsunami (Bulgaria)","Osa I (Bulgaria)","1","17","20000000","171500","0","1971.33","2008","Bulgaria","PTG","","NONE","sovremenny.xml","The Project 205 Tsunami, more commonly known by their NATO reporting name Osa, are a class of missile boats developed for the Soviet Navy in the early 1960s. The Osas are probably the most numerous class of missile boats ever built, with over 400 vessels constructed for both the Soviet Navy and for export to allied countries. 'Osa' means 'wasp' in Russian, but it is not an official name. The boats were designated as 'large missile cutters' in the Soviet Navy.","","38.5","1.5","11","24010","0.051873009","200","Ship200Dmg","10","","23.06","ShipRCS1","29.003","17.232","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Pr 205 Tsunami (Croatia)","Osa I (Croatia)","1","17","20000000","171500","0","1991.67","1995","Croatia","PTG","","NONE","sovremenny.xml","The Project 205 Tsunami, more commonly known by their NATO reporting name Osa, are a class of missile boats developed for the Soviet Navy in the early 1960s. The Osas are probably the most numerous class of missile boats ever built, with over 400 vessels constructed for both the Soviet Navy and for export to allied countries. 'Osa' means 'wasp' in Russian, but it is not an official name. The boats were designated as 'large missile cutters' in the Soviet Navy.","","38.5","1.5","11","24010","0.051873009","200","Ship200Dmg","10","","23.06","ShipRCS1","29.003","17.232","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Pr 205 Tsunami (Cuba)","Osa I (Cuba)","1","17","20000000","171500","0","1972","1999","Cuba","PTG","","NONE","sovremenny.xml","The Project 205 Tsunami, more commonly known by their NATO reporting name Osa, are a class of missile boats developed for the Soviet Navy in the early 1960s. The Osas are probably the most numerous class of missile boats ever built, with over 400 vessels constructed for both the Soviet Navy and for export to allied countries. 'Osa' means 'wasp' in Russian, but it is not an official name. The boats were designated as 'large missile cutters' in the Soviet Navy.","","38.5","1.5","11","24010","0.051873009","200","Ship200Dmg","10","","23.06","ShipRCS1","29.003","17.232","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Pr 205 Tsunami (Egypt)","Osa I (Egypt)","1","17","20000000","171500","0","1966","2999","Egypt","PTG","","NONE","sovremenny.xml","The Project 205 Tsunami, more commonly known by their NATO reporting name Osa, are a class of missile boats developed for the Soviet Navy in the early 1960s. The Osas are probably the most numerous class of missile boats ever built, with over 400 vessels constructed for both the Soviet Navy and for export to allied countries. 'Osa' means 'wasp' in Russian, but it is not an official name. The boats were designated as 'large missile cutters' in the Soviet Navy.","","38.5","1.5","11","24010","0.051873009","200","Ship200Dmg","10","","23.06","ShipRCS1","29.003","17.232","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Pr 205 Tsunami (Germany, East)","Osa I (East Germany)","1","17","20000000","171500","0","1962.04","1990.75","Germany, East","PTG","","NONE","sovremenny.xml","The Project 205 Tsunami, more commonly known by their NATO reporting name Osa, are a class of missile boats developed for the Soviet Navy in the early 1960s. The Osas are probably the most numerous class of missile boats ever built, with over 400 vessels constructed for both the Soviet Navy and for export to allied countries. 'Osa' means 'wasp' in Russian, but it is not an official name. The boats were designated as 'large missile cutters' in the Soviet Navy.","","38.5","1.5","11","24010","0.051873009","200","Ship200Dmg","10","","23.06","ShipRCS1","29.003","17.232","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Pr 205 Tsunami (India)","Osa I (India)","1","17","20000000","171500","0","1971.06","1992.5","India","PTG","","NONE","sovremenny.xml","The Project 205 Tsunami, more commonly known by their NATO reporting name Osa, are a class of missile boats developed for the Soviet Navy in the early 1960s. The Osas are probably the most numerous class of missile boats ever built, with over 400 vessels constructed for both the Soviet Navy and for export to allied countries. 'Osa' means 'wasp' in Russian, but it is not an official name. The boats were designated as 'large missile cutters' in the Soviet Navy.","","38.5","1.5","11","24010","0.051873009","200","Ship200Dmg","10","","23.06","ShipRCS1","29.003","17.232","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Pr 205 Tsunami (Iraq)","Osa I (Iraq)","1","17","20000000","171500","0","1972.5","2003","Iraq","PTG","","NONE","sovremenny.xml","The Project 205 Tsunami, more commonly known by their NATO reporting name Osa, are a class of missile boats developed for the Soviet Navy in the early 1960s. The Osas are probably the most numerous class of missile boats ever built, with over 400 vessels constructed for both the Soviet Navy and for export to allied countries. 'Osa' means 'wasp' in Russian, but it is not an official name. The boats were designated as 'large missile cutters' in the Soviet Navy.","","38.5","1.5","11","24010","0.051873009","200","Ship200Dmg","10","","23.06","ShipRCS1","29.003","17.232","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Pr 205 Tsunami (Korea, North)","Osa I (North Korea)","1","17","20000000","171500","0","1968","2999","Korea, North","PTG","","NONE","sovremenny.xml","The Project 205 Tsunami, more commonly known by their NATO reporting name Osa, are a class of missile boats developed for the Soviet Navy in the early 1960s. The Osas are probably the most numerous class of missile boats ever built, with over 400 vessels constructed for both the Soviet Navy and for export to allied countries. 'Osa' means 'wasp' in Russian, but it is not an official name. The boats were designated as 'large missile cutters' in the Soviet Navy.","","38.5","1.5","11","24010","0.051873009","200","Ship200Dmg","10","","23.06","ShipRCS1","29.003","17.232","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Pr 205 Tsunami (Poland)","Osa I (Poland)","1","17","20000000","171500","0","1964.01","2006.25","poland","PTG","","NONE","sovremenny.xml","The Project 205 Tsunami, more commonly known by their NATO reporting name Osa, are a class of missile boats developed for the Soviet Navy in the early 1960s. The Osas are probably the most numerous class of missile boats ever built, with over 400 vessels constructed for both the Soviet Navy and for export to allied countries. 'Osa' means 'wasp' in Russian, but it is not an official name. The boats were designated as 'large missile cutters' in the Soviet Navy.","","38.5","1.5","11","24010","0.051873009","200","Ship200Dmg","10","","23.06","ShipRCS1","29.003","17.232","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Pr 205 Tsunami (Romania)","Osa I (Romania)","1","17","20000000","171500","0","1964.84","2999","Romania","PTG","","NONE","sovremenny.xml","The Project 205 Tsunami, more commonly known by their NATO reporting name Osa, are a class of missile boats developed for the Soviet Navy in the early 1960s. The Osas are probably the most numerous class of missile boats ever built, with over 400 vessels constructed for both the Soviet Navy and for export to allied countries. 'Osa' means 'wasp' in Russian, but it is not an official name. The boats were designated as 'large missile cutters' in the Soviet Navy.","","38.5","1.5","11","24010","0.051873009","200","Ship200Dmg","10","","23.06","ShipRCS1","29.003","17.232","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Pr 205 Tsunami (Syria)","Osa I (Syria)","1","17","20000000","171500","0","1973.01","1987","Syria","PTG","","NONE","sovremenny.xml","The Project 205 Tsunami, more commonly known by their NATO reporting name Osa, are a class of missile boats developed for the Soviet Navy in the early 1960s. The Osas are probably the most numerous class of missile boats ever built, with over 400 vessels constructed for both the Soviet Navy and for export to allied countries. 'Osa' means 'wasp' in Russian, but it is not an official name. The boats were designated as 'large missile cutters' in the Soviet Navy.","","38.5","1.5","11","24010","0.051873009","200","Ship200Dmg","10","","23.06","ShipRCS1","29.003","17.232","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Pr 205 Tsunami (Yemen, North)","Osa I (North Yemen)","1","17","20000000","171500","0","1995.33","2999","Yemen, North","PTG","","NONE","sovremenny.xml","The Project 205 Tsunami, more commonly known by their NATO reporting name Osa, are a class of missile boats developed for the Soviet Navy in the early 1960s. The Osas are probably the most numerous class of missile boats ever built, with over 400 vessels constructed for both the Soviet Navy and for export to allied countries. 'Osa' means 'wasp' in Russian, but it is not an official name. The boats were designated as 'large missile cutters' in the Soviet Navy.","","38.5","1.5","11","24010","0.051873009","200","Ship200Dmg","10","","23.06","ShipRCS1","29.003","17.232","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Pr 205 Tsunami (Yugoslavia)","Osa I (Yugoslavia)","1","17","20000000","171500","0","1965","1992","Yugoslavia","PTG","","NONE","sovremenny.xml","The Project 205 Tsunami, more commonly known by their NATO reporting name Osa, are a class of missile boats developed for the Soviet Navy in the early 1960s. The Osas are probably the most numerous class of missile boats ever built, with over 400 vessels constructed for both the Soviet Navy and for export to allied countries. 'Osa' means 'wasp' in Russian, but it is not an official name. The boats were designated as 'large missile cutters' in the Soviet Navy.","","38.5","1.5","11","24010","0.051873009","200","Ship200Dmg","10","","23.06","ShipRCS1","29.003","17.232","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
