DatabaseClass text primary key,Top_dB real,Bottom_dB real,Aspect0 real,Aspect10 real,Aspect20 real,Aspect30 real,Aspect40 real,Aspect50 real,Aspect60 real,Aspect70 real,Aspect80 real,Aspect90 real,Aspect100 real,Aspect110 real,Aspect120 real,Aspect130 real,Aspect140 real,Aspect150 real,Aspect160 real,Aspect170 real,Aspect180 real
"IR_FW_M_H_LP_2_Super_M2.4","11.26","11.26","11.26","11.26","11.26","10.26","9.26","9.26","8.26","8.26","8.26","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M2.5","11.55","11.55","11.55","11.55","11.55","10.55","9.55","9.55","8.55","8.55","8.55","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M2.6","11.84","11.84","11.84","11.84","11.84","10.84","9.84","9.84","8.84","8.84","8.84","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M2.7","12.12","12.12","12.12","12.12","12.12","11.12","10.12","10.12","9.12","9.12","9.12","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M2.8","12.39","12.39","12.39","12.39","12.39","11.39","10.39","10.39","9.39","9.39","9.39","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M2.9","12.66","12.66","12.66","12.66","12.66","11.66","10.66","10.66","9.66","9.66","9.66","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M3","12.92","12.92","12.92","12.92","12.92","11.92","10.92","10.92","9.92","9.92","9.92","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M3.2","13.42","13.42","13.42","13.42","13.42","12.42","11.42","11.42","10.42","10.42","10.42","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M3.4","13.89","13.89","13.89","13.89","13.89","12.89","11.89","11.89","10.89","10.89","10.89","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M3.6","14.34","14.34","14.34","14.34","14.34","13.34","12.34","12.34","11.34","11.34","11.34","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_M0.85","3.37","3.37","5.37","5.37","5.37","4.37","4.37","3.37","3.37","3.37","3.37","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M1.1","7.63","7.63","7.63","7.63","7.63","6.63","5.63","5.63","4.63","4.63","4.63","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M1.2","8.05","8.05","8.05","8.05","8.05","7.05","6.05","6.05","5.05","5.05","5.05","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M1.3","8.43","8.43","8.43","8.43","8.43","7.43","6.43","6.43","5.43","5.43","5.43","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M1.4","8.81","8.81","8.81","8.81","8.81","7.81","6.81","6.81","5.81","5.81","5.81","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M1.5","9.2","9.2","9.2","9.2","9.2","8.2","7.2","7.2","6.2","6.2","6.2","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M1.6","9.57","9.57","9.57","9.57","9.57","8.57","7.57","7.57","6.57","6.57","6.57","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M1.7","9.94","9.94","9.94","9.94","9.94","8.94","7.94","7.94","6.94","6.94","6.94","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M1.8","10.29","10.29","10.29","10.29","10.29","9.29","8.29","8.29","7.29","7.29","7.29","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M1.9","10.65","10.65","10.65","10.65","10.65","9.65","8.65","8.65","7.65","7.65","7.65","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M2","10.99","10.99","10.99","10.99","10.99","9.99","8.99","8.99","7.99","7.99","7.99","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M2.1","11.32","11.32","11.32","11.32","11.32","10.32","9.32","9.32","8.32","8.32","8.32","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M2.2","11.64","11.64","11.64","11.64","11.64","10.64","9.64","9.64","8.64","8.64","8.64","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M2.3","11.95","11.95","11.95","11.95","11.95","10.95","9.95","9.95","8.95","8.95","8.95","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M2.4","12.26","12.26","12.26","12.26","12.26","11.26","10.26","10.26","9.26","9.26","9.26","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M2.5","12.55","12.55","12.55","12.55","12.55","11.55","10.55","10.55","9.55","9.55","9.55","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M2.6","12.84","12.84","12.84","12.84","12.84","11.84","10.84","10.84","9.84","9.84","9.84","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M2.7","13.12","13.12","13.12","13.12","13.12","12.12","11.12","11.12","10.12","10.12","10.12","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M2.8","13.39","13.39","13.39","13.39","13.39","12.39","11.39","11.39","10.39","10.39","10.39","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M2.9","13.66","13.66","13.66","13.66","13.66","12.66","11.66","11.66","10.66","10.66","10.66","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M3","13.92","13.92","13.92","13.92","13.92","12.92","11.92","11.92","10.92","10.92","10.92","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M3.2","14.42","14.42","14.42","14.42","14.42","13.42","12.42","12.42","11.42","11.42","11.42","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M3.4","14.89","14.89","14.89","14.89","14.89","13.89","12.89","12.89","11.89","11.89","11.89","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_2_Super_M3.6","15.34","15.34","15.34","15.34","15.34","14.34","13.34","13.34","12.34","12.34","12.34","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_L_H_LP_4_M0.85","3.37","3.37","5.37","5.37","5.37","4.37","4.37","3.37","3.37","3.37","3.37","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M1.1","7.63","7.63","7.63","7.63","7.63","6.63","5.63","5.63","4.63","4.63","4.63","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M1.2","8.05","8.05","8.05","8.05","8.05","7.05","6.05","6.05","5.05","5.05","5.05","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M1.3","8.43","8.43","8.43","8.43","8.43","7.43","6.43","6.43","5.43","5.43","5.43","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M1.4","8.81","8.81","8.81","8.81","8.81","7.81","6.81","6.81","5.81","5.81","5.81","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M1.5","9.2","9.2","9.2","9.2","9.2","8.2","7.2","7.2","6.2","6.2","6.2","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M1.6","9.57","9.57","9.57","9.57","9.57","8.57","7.57","7.57","6.57","6.57","6.57","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M1.7","9.94","9.94","9.94","9.94","9.94","8.94","7.94","7.94","6.94","6.94","6.94","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M1.8","10.29","10.29","10.29","10.29","10.29","9.29","8.29","8.29","7.29","7.29","7.29","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M1.9","10.65","10.65","10.65","10.65","10.65","9.65","8.65","8.65","7.65","7.65","7.65","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M2","10.99","10.99","10.99","10.99","10.99","9.99","8.99","8.99","7.99","7.99","7.99","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M2.1","11.32","11.32","11.32","11.32","11.32","10.32","9.32","9.32","8.32","8.32","8.32","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M2.2","11.64","11.64","11.64","11.64","11.64","10.64","9.64","9.64","8.64","8.64","8.64","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M2.3","11.95","11.95","11.95","11.95","11.95","10.95","9.95","9.95","8.95","8.95","8.95","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M2.4","12.26","12.26","12.26","12.26","12.26","11.26","10.26","10.26","9.26","9.26","9.26","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M2.5","12.55","12.55","12.55","12.55","12.55","11.55","10.55","10.55","9.55","9.55","9.55","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M2.6","12.84","12.84","12.84","12.84","12.84","11.84","10.84","10.84","9.84","9.84","9.84","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M2.7","13.12","13.12","13.12","13.12","13.12","12.12","11.12","11.12","10.12","10.12","10.12","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M2.8","13.39","13.39","13.39","13.39","13.39","12.39","11.39","11.39","10.39","10.39","10.39","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M2.9","13.66","13.66","13.66","13.66","13.66","12.66","11.66","11.66","10.66","10.66","10.66","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M3","13.92","13.92","13.92","13.92","13.92","12.92","11.92","11.92","10.92","10.92","10.92","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M3.2","14.42","14.42","14.42","14.42","14.42","13.42","12.42","12.42","11.42","11.42","11.42","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M3.4","14.89","14.89","14.89","14.89","14.89","13.89","12.89","12.89","11.89","11.89","11.89","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_4_Super_M3.6","15.34","15.34","15.34","15.34","15.34","14.34","13.34","13.34","12.34","12.34","12.34","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_L_H_LP_8_M0.85","3.37","3.37","5.37","5.37","5.37","4.37","4.37","3.37","3.37","3.37","3.37","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M1.1","7.63","7.63","7.63","7.63","7.63","6.63","5.63","5.63","4.63","4.63","4.63","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M1.2","8.05","8.05","8.05","8.05","8.05","7.05","6.05","6.05","5.05","5.05","5.05","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M1.3","8.43","8.43","8.43","8.43","8.43","7.43","6.43","6.43","5.43","5.43","5.43","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M1.4","8.81","8.81","8.81","8.81","8.81","7.81","6.81","6.81","5.81","5.81","5.81","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M1.5","9.2","9.2","9.2","9.2","9.2","8.2","7.2","7.2","6.2","6.2","6.2","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M1.6","9.57","9.57","9.57","9.57","9.57","8.57","7.57","7.57","6.57","6.57","6.57","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M1.7","9.94","9.94","9.94","9.94","9.94","8.94","7.94","7.94","6.94","6.94","6.94","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M1.8","10.29","10.29","10.29","10.29","10.29","9.29","8.29","8.29","7.29","7.29","7.29","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M1.9","10.65","10.65","10.65","10.65","10.65","9.65","8.65","8.65","7.65","7.65","7.65","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M2","10.99","10.99","10.99","10.99","10.99","9.99","8.99","8.99","7.99","7.99","7.99","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M2.1","11.32","11.32","11.32","11.32","11.32","10.32","9.32","9.32","8.32","8.32","8.32","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M2.2","11.64","11.64","11.64","11.64","11.64","10.64","9.64","9.64","8.64","8.64","8.64","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M2.3","11.95","11.95","11.95","11.95","11.95","10.95","9.95","9.95","8.95","8.95","8.95","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M2.4","12.26","12.26","12.26","12.26","12.26","11.26","10.26","10.26","9.26","9.26","9.26","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M2.5","12.55","12.55","12.55","12.55","12.55","11.55","10.55","10.55","9.55","9.55","9.55","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M2.6","12.84","12.84","12.84","12.84","12.84","11.84","10.84","10.84","9.84","9.84","9.84","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M2.7","13.12","13.12","13.12","13.12","13.12","12.12","11.12","11.12","10.12","10.12","10.12","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M2.8","13.39","13.39","13.39","13.39","13.39","12.39","11.39","11.39","10.39","10.39","10.39","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M2.9","13.66","13.66","13.66","13.66","13.66","12.66","11.66","11.66","10.66","10.66","10.66","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M3","13.92","13.92","13.92","13.92","13.92","12.92","11.92","11.92","10.92","10.92","10.92","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M3.2","14.42","14.42","14.42","14.42","14.42","13.42","12.42","12.42","11.42","11.42","11.42","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M3.4","14.89","14.89","14.89","14.89","14.89","13.89","12.89","12.89","11.89","11.89","11.89","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_L_H_LP_8_Super_M3.6","15.34","15.34","15.34","15.34","15.34","14.34","13.34","13.34","12.34","12.34","12.34","9.08","11.63","13.06","14.13","15.1","16.07","16.07","17.07","18.06","19.08"
"IR_FW_VL_H_LP_2_M0.85","3.87","3.87","5.87","5.87","5.87","4.87","4.87","3.87","3.87","3.87","3.87","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M1.1","8.13","8.13","8.13","8.13","8.13","7.13","6.13","6.13","5.13","5.13","5.13","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M1.2","8.55","8.55","8.55","8.55","8.55","7.55","6.55","6.55","5.55","5.55","5.55","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M1.3","8.93","8.93","8.93","8.93","8.93","7.93","6.93","6.93","5.93","5.93","5.93","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M1.4","9.31","9.31","9.31","9.31","9.31","8.31","7.31","7.31","6.31","6.31","6.31","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M1.5","9.7","9.7","9.7","9.7","9.7","8.7","7.7","7.7","6.7","6.7","6.7","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M1.6","10.07","10.07","10.07","10.07","10.07","9.07","8.07","8.07","7.07","7.07","7.07","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M1.7","10.44","10.44","10.44","10.44","10.44","9.44","8.44","8.44","7.44","7.44","7.44","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M1.8","10.79","10.79","10.79","10.79","10.79","9.79","8.79","8.79","7.79","7.79","7.79","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M1.9","11.15","11.15","11.15","11.15","11.15","10.15","9.15","9.15","8.15","8.15","8.15","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M2","11.49","11.49","11.49","11.49","11.49","10.49","9.49","9.49","8.49","8.49","8.49","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M2.1","11.82","11.82","11.82","11.82","11.82","10.82","9.82","9.82","8.82","8.82","8.82","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M2.2","12.14","12.14","12.14","12.14","12.14","11.14","10.14","10.14","9.14","9.14","9.14","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M2.3","12.45","12.45","12.45","12.45","12.45","11.45","10.45","10.45","9.45","9.45","9.45","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M2.4","12.76","12.76","12.76","12.76","12.76","11.76","10.76","10.76","9.76","9.76","9.76","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M2.5","13.05","13.05","13.05","13.05","13.05","12.05","11.05","11.05","10.05","10.05","10.05","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M2.6","13.34","13.34","13.34","13.34","13.34","12.34","11.34","11.34","10.34","10.34","10.34","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M2.7","13.62","13.62","13.62","13.62","13.62","12.62","11.62","11.62","10.62","10.62","10.62","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M2.8","13.89","13.89","13.89","13.89","13.89","12.89","11.89","11.89","10.89","10.89","10.89","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M2.9","14.16","14.16","14.16","14.16","14.16","13.16","12.16","12.16","11.16","11.16","11.16","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M3","14.42","14.42","14.42","14.42","14.42","13.42","12.42","12.42","11.42","11.42","11.42","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M3.2","14.92","14.92","14.92","14.92","14.92","13.92","12.92","12.92","11.92","11.92","11.92","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M3.4","15.39","15.39","15.39","15.39","15.39","14.39","13.39","13.39","12.39","12.39","12.39","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_2_Super_M3.6","15.84","15.84","15.84","15.84","15.84","14.84","13.84","13.84","12.84","12.84","12.84","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_VL_H_LP_4_M0.85","3.87","3.87","5.87","5.87","5.87","4.87","4.87","3.87","3.87","3.87","3.87","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M1.1","8.13","8.13","8.13","8.13","8.13","7.13","6.13","6.13","5.13","5.13","5.13","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M1.2","8.55","8.55","8.55","8.55","8.55","7.55","6.55","6.55","5.55","5.55","5.55","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M1.3","8.93","8.93","8.93","8.93","8.93","7.93","6.93","6.93","5.93","5.93","5.93","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M1.4","9.31","9.31","9.31","9.31","9.31","8.31","7.31","7.31","6.31","6.31","6.31","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M1.5","9.7","9.7","9.7","9.7","9.7","8.7","7.7","7.7","6.7","6.7","6.7","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M1.6","10.07","10.07","10.07","10.07","10.07","9.07","8.07","8.07","7.07","7.07","7.07","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M1.7","10.44","10.44","10.44","10.44","10.44","9.44","8.44","8.44","7.44","7.44","7.44","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M1.8","10.79","10.79","10.79","10.79","10.79","9.79","8.79","8.79","7.79","7.79","7.79","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M1.9","11.15","11.15","11.15","11.15","11.15","10.15","9.15","9.15","8.15","8.15","8.15","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M2","11.49","11.49","11.49","11.49","11.49","10.49","9.49","9.49","8.49","8.49","8.49","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M2.1","11.82","11.82","11.82","11.82","11.82","10.82","9.82","9.82","8.82","8.82","8.82","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M2.2","12.14","12.14","12.14","12.14","12.14","11.14","10.14","10.14","9.14","9.14","9.14","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M2.3","12.45","12.45","12.45","12.45","12.45","11.45","10.45","10.45","9.45","9.45","9.45","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M2.4","12.76","12.76","12.76","12.76","12.76","11.76","10.76","10.76","9.76","9.76","9.76","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M2.5","13.05","13.05","13.05","13.05","13.05","12.05","11.05","11.05","10.05","10.05","10.05","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M2.6","13.34","13.34","13.34","13.34","13.34","12.34","11.34","11.34","10.34","10.34","10.34","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M2.7","13.62","13.62","13.62","13.62","13.62","12.62","11.62","11.62","10.62","10.62","10.62","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M2.8","13.89","13.89","13.89","13.89","13.89","12.89","11.89","11.89","10.89","10.89","10.89","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
"IR_FW_VL_H_LP_4_Super_M2.9","14.16","14.16","14.16","14.16","14.16","13.16","12.16","12.16","11.16","11.16","11.16","6.08","8.63","10.06","11.13","12.1","13.07","13.07","14.07","15.06","16.08"
