DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,MaxRange_km numeric,RefRange_km numeric,FieldOfView_deg numeric,MinElevation_deg numeric,MaxElevation_deg numeric,ScanPeriod_s numeric,DamageEffect text,RangeError numeric,AngleError_deg numeric,ElevationError_deg numeric,MinFrequency_Hz numeric,MaxFrequency_Hz numeric,IdThreshold_dB real,CounterMeasureFactor numeric,IsSurveillance numeric,MaxFireControlTracks numeric,IsSemiactive numeric,IsDesignator numeric,DetectsSurface numeric,DetectsAir numeric,DetectsMissile numeric,DetectsGround numeric,IsIR numeric,NightFactor numeric
"Klyon-54 LRMTS","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance Designator, Max Range: 12km, Ref: 12km          Laser designator and range finder, 10 km range","","12","12","30","-36","8","4","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","1","10","0","1","1","1","0","1","1","1"
"Eyeball 20/20","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 225km, Ref: 6.0085km, Night Factor: 0.5          Mk-1 eyeball 20/20 vision, assisted with optics, for ships","human vision, 20/20, assisted by optics.","225","6.0085","360","-90","90","20","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","0","0","1","0","0.5"
"Eyeball 20/20b","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 24km, Ref: 6.0085km, Night Factor: 0.5          Mk-1 eyeball 20/20 vision, assisted with optics, for ships","human vision, 20/20, assisted by optics.","24","6.0085","360","-90","90","20","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","0","0.5"
"Eyeball 20/20c","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 12km, Ref: 3.00425km, Night Factor: 0.5          Mk-1 eyeball 20/20 vision, assisted with optics, for ships","human vision, 20/20, assisted by optics.","12","3.00425","360","-90","90","4","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","0","0.5"
"Eyeball 20/20d","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 3km, Ref: 3.00425km, Night Factor: 0.5          Mk-1 eyeball 20/20 vision, assisted with optics, for ships","human vision, 20/20, assisted by optics.","3","3.00425","360","-90","90","1","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","0","0.5"
"Eyeball 20/10","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 225km, Ref: 3.43775km, Night Factor: 0.1          Mk-1 eyeball 20/10 vision","human vision, 20/10","225","3.43775","360","-90","90","20","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","0","0","1","0","0.1"
"Eyeball 20/10b","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 24km, Ref: 3.43775km, Night Factor: 0.1          Mk-1 eyeball 20/10 vision","human vision, 20/10","24","3.43775","360","-90","90","20","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","0","0.1"
"Eyeball 20/10c","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 12km, Ref: 1.718875km, Night Factor: 0.1          Mk-1 eyeball 20/10 vision","human vision, 20/10","12","1.718875","360","-90","90","4","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","0","0.1"
"Eyeball 20/10d","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 24km, Ref: 3.43775km, Night Factor: 0.1          Mk-1 eyeball 20/10 vision","human vision, 20/10","24","3.43775","360","-90","90","10","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","0","0.1"
"Eyeball 20/10e","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 12km, Ref: 1.718875km, Night Factor: 0.1          Mk-1 eyeball 20/10 vision","human vision, 20/10","12","1.718875","360","-90","90","3","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","0","0.1"
"Eyeball 20/10f","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 3km, Ref: 1.718875km, Night Factor: 0.1          Mk-1 eyeball 20/10 vision","human vision, 20/10","3","1.718875","360","-90","90","1","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","0","0.1"
"Eyeball 20/20e","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 225km, Ref: 1.718875km, Night Factor: 0.5          Mk-1 eyeball 20/20 vision","human vision, 20/20","225","1.718875","360","-90","90","20","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","0","0","1","0","0.5"
"Eyeball 20/20f","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 24km, Ref: 1.718875km, Night Factor: 0.5          Mk-1 eyeball 20/20 vision","human vision, 20/20","24","1.718875","360","-90","90","20","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","0","0.5"
"Eyeball 20/20g","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 12km, Ref: 0.8594375km, Night Factor: 0.5          Mk-1 eyeball 20/20 vision","human vision, 20/20","12","0.8594375","360","-90","90","4","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","0","0.5"
"Eyeball 20/20h","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 3km, Ref: 0.8594375km, Night Factor: 0.5          Mk-1 eyeball 20/20 vision","human vision, 20/20","3","0.8594375","360","-90","90","1","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","0","0.5"
"AAS-36 LLTV","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 225km, Ref: 4.4349435km, Night Factor: 0.6          8x magnification FLIR with TV, IR, Grayscale, and LLTV modes.  Is setup as an LLTV sensor.","","225","4.4349435","360","-84","15","10","GenericSensor","0.000125","0.000125","0.000125","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","0","1","1","0","0.6"
"AAS-36 FLIR","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance, Max Range: 225km, Ref: 4.49435km, Night Factor: 1.2          8x magnification FLIR with TV, IR, Grayscale, and LLTV modes.  Is setup as an IR sensor.","","225","4.49435","360","-84","15","10","GenericSensor","0.000125","0.000125","0.000125","75000000000000.0","800000000000000.0","12","1","1","0","0","0","1","0","1","1","1","1.2"
"Star Safire III IR","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance, Max Range: 225km, Ref: 7.32362km, Night Factor: 1.2          25x magnification FLIR with TV, IR, Grayscale, and LLTV modes.  Is setup as an IR sensor.","","225","7.32362","360","-84","15","10","GenericSensor","0.000125","0.000125","0.000125","75000000000000.0","800000000000000.0","12","1","1","0","0","0","1","0","1","1","1","1.2"
"Star Safire III EO","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 225km, Ref: 7.32362km, Night Factor: 0.6          25x magnification FLIR with TV, IR, Grayscale, and LLTV modes.  Is setup as an LLTV sensor.","","225","7.32362","360","-84","15","10","GenericSensor","0.000125","0.000125","0.000125","75000000000000.0","800000000000000.0","12","1","1","0","0","0","1","0","1","1","0","0.6"
"Kondor IR Seeker","","0","0","","","","1900","2999","","","","","","IR, Max Range: 20km, Ref: 5km, Night Factor: 0.5","","20","1.3","3","-15","15","2","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","0","1","0","0","0","0","1","0","0","0","1","0.5"
"Snegir IR Seeker","","0","0","","","","1900","2999","","","","","","IR, Max Range: 20km, Ref: 8km, Night Factor: 0.75","","20","6","15","-15","15","2","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","0","1","0","0","0","0","1","0","0","0","1","0.75"
"R-4T IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 15km, Ref: 3.7km          IR seeker for the R-4T AAM.  15km rear aspect aligned.","","15","3.7","25","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"R-4TM IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 20km, Ref: 5.5km          IR seeker for the R-4T AAM.  20km rear aspect aligned.","","20","5.5","25","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"AAM-3 Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 21km, Ref: 16.78km          IR seeker for the AAM-3.  21km all aspect aligned.","","21","16.78","50","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"AAM-5 Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 28km, Ref: 23km          IR seeker for the AAM-5.  28km all aspect aligned.","","28","23","120","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"BGM-109 Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 40km, Ref: 8km","","40","8","30","-90","90","5","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","0","0","1","1","1"
"Ferranti Type 106 LRMTS","","0","0","0","0","0","1900","2999","","","","","","IR Designator, Max Range: 20km, Ref: 20km          Generic laser designator 10 km range","","20","20","360","-90","90","15","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","99","1","0","2","0","1","0","0","0","1","1","1"
"Basic FLIR system","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance, Max Range: 70km, Ref: 4.49435km, Night Factor: 1.2","pretty much just an AAS-36 for the harriers until I know enough of what LFIR they have to make a more controlled choice.","70","4.49435","360","-84","15","10","GenericSensor","0.000125","0.000125","0.000125","75000000000000.0","800000000000000.0","12","1","1","0","0","0","1","0","1","1","1","1.2"
"Marconi 1010 FLIR","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance, Max Range: 70km, Ref: 4.49435km, Night Factor: 1.2","pretty much just an AAS-36 for the harriers until I know enough of what LFIR they have to make a more controlled choice.","70","4.49435","360","-84","15","10","GenericSensor","0.000125","0.000125","0.000125","75000000000000.0","800000000000000.0","12","1","1","0","0","0","1","0","0","1","1","1.2"
"TIALD","","0","0","0","0","0","1900","2999","","","","","","IR Designator, Max Range: 70km, Ref: 5.5km, Night Factor: 1.2","pretty much just an AAS-36 for the harriers until I know enough of what LFIR they have to make a more controlled choice.","70","5.5","360","-84","15","10","GenericSensor","0.000125","0.000125","0.000125","75000000000000.0","800000000000000.0","0","1","0","0","0","1","1","0","0","1","1","1.2"
"EOSS 2500 IIRST","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance Designator, Max Range: 160km, Ref: 19km","assumed roughly equivalent to Vampir NG.","160","19","360","-20","45","0.7","GenericSensor","0","0.0859","0.0859","","","6","1","1","2","0","1","1","1","1","1","1","1"
"Generic Advanced Designator","","0","0","0","0","0","1900","2999","","","","","","Optical Designator, Max Range: 40km, Ref: 16km","","40","16","360","-90","90","30","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","99","1","0","20","0","1","1","0","1","1","0","1"
"Laser seeker 30km","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 30km, Ref: 30km          Generic laser seeker 20 km range","","30","30","360","-90","90","3","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","1","0","1","1","0","1","1","1"
"TOW Seeker","","0","0","0","0","0","1900","2999","","","","","","Optical, Max Range: 4km, Ref: 10km, Night Factor: 0","because the missile is visually guided at very short ranges by an operator, the seeker is being setup as omniscient.","4","10","360","-180","180","1","GenericSensor","0","0","0","","","6","1","0","0","1","0","1","0","0","1","0","0"
"TOW Operator","","0","0","0","0","0","1900","2999","","","","","","Optical Designator, Max Range: 4km, Ref: 3.43775km, Night Factor: 0.1          Mk-1 eyeball 20/20 vision, setup for FC of TOW missile","human vision, 20/10, range limited.","4","3.43775","360","-90","90","0.5","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","0","1","0","1","1","0","0","1","0","0.1"
"Eyeball 20/10.n","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 225km, Ref: 3.43775km, Night Factor: 1.2          Mk-1 eyeball 20/10 vision, nvg assisted","human vision, 20/10","225","3.43775","360","-90","90","20","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","0","0","1","0","1.2"
"Eyeball 20/10b.n","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 24km, Ref: 3.43775km, Night Factor: 1.2          Mk-1 eyeball 20/10 vision, nvg assisted","human vision, 20/10","24","3.43775","360","-90","90","20","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","0","1.2"
"Eyeball 20/10c.n","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 12km, Ref: 1.718875km, Night Factor: 1.2          Mk-1 eyeball 20/10 vision, nvg assisted","human vision, 20/10","12","1.718875","360","-90","90","4","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","0","1.2"
"TOW Operator.n","","0","0","0","0","0","1900","2999","","","","","","Optical Designator, Max Range: 4km, Ref: 3.43775km, Night Factor: 1.2          Mk-1 eyeball 20/20 vision, setup for FC of TOW missile, nvg assisted","human vision, 20/10, range limited.","4","3.43775","360","-90","90","0.5","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","0","1","0","1","1","0","0","1","0","1.2"
"AAQ-30 Hawkeye TSS FLIR","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance, Max Range: 60km, Ref: 10.31325km, Night Factor: 1.2","","60","10.31325","120","-84","15","10","GenericSensor","0.000125","0.000125","0.000125","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","0","1","1","1","1.2"
"NTS FLIR","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance, Max Range: 30km, Ref: 4.47km, Night Factor: 1.2","","30","4.47","120","-84","15","10","GenericSensor","0.000125","0.000125","0.000125","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","0","1","1","1","1.2"
"KD-63 EO Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 25km, Ref: 4.25km          TV seeker","","25","4.25","30","-90","90","3","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","0","0","1","1","1"
"C-705 IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 80km, Ref: 5.65km          TV seeker","","80","5.65","30","-90","90","3","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","1","0","0","0","1","1"
"YJ-82 IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 40km, Ref: 9.1km          TV seeker","","40","9.1","30","-90","90","3","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","1","0","0","1","1","1"
"FL-10 EO Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 18km, Ref: 2.62km          TV seeker","","18","2.62","30","-90","90","3","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","1","0","0","0","1","1"
"FL-8 EO Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 20km, Ref: 3.04km          TV seeker","","20","3.04","30","-90","90","3","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","1","0","0","0","1","1"
"FL-9 EO Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 35km, Ref: 7.25km          TV seeker","","35","7.25","30","-90","90","3","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","1","0","0","0","1","1"
"PL-2 IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 2km, Ref: 0.3727km","","2","0.3727","6","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"PL-5B IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 7km, Ref: 0.998km","","7","0.998","60","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"PL-5C IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 10km, Ref: 1.706km","","10","1.706","60","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"PL-5E IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 23km, Ref: 6.06km","","23","6.06","60","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"PL-7 IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 8km, Ref: 5.5km","","8","5.5","60","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"PL-7B IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 12km, Ref: 8.4km","","12","8.4","60","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"Python-3 IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 18km, Ref: 11.69km","","18","11.69","80","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"Python-4 IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 18km, Ref: 11.69km","","18","11.69","140","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"Python-5 IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 25km, Ref: 19.32km","","25","19.32","160","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"HY-2A IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 20km, Ref: 3.04km          TV seeker","","20","3.04","30","-90","90","3","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","1","0","0","0","1","1"
"Generic Cruise Missile Seeker","","0","0","0","0","0","1900","2999","","","","","","","","3","50","10","-45","45","0.5","GenericSensor","0","0","0","","","6","1","0","0","0","0","1","0","0","1","0","1"
"Shafrir-1 IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 3.8km, Ref: 0.6km          IR seeker for the Shafrir-1 AAM.  3.2km rear aspect aligned.","","3.8","0.615","12","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"Shafrir-2 IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 4.2km, Ref: 0.7km          IR seeker for the Shafrir-2 AAM.  3.5km rear aspect aligned.","","4.2","0.676","24","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"AAQ-37 DAS","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance, Max Range: 350km, Ref: 38km, Night Factor: 1.3","","160","38","360","-90","90","2","GenericSensor","6.25e-05","6.25e-05","6.25e-05","75000000000000.0","800000000000000.0","4","1","1","0","0","1","1","1","1","1","1","1.3"
"GPS -Seeker-","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 300km, Ref: 300km          Generic seeker 300 km range","","300","300","360","-90","90","6","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","1","0","0","1","0","1"
"AGM-62 TV Seeker","","0","0","0","0","0","1900","2999","","","","","","Optical, Max Range: 50km, Ref: 6.2km, Night Factor: 0.1","","50","6.2","15","-90","90","5","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","1","0","0","1","0","0.1"
"AGM-62 mk21 TV Seeker","","0","0","0","0","0","1900","2999","","","","","","Optical, Max Range: 70km, Ref: 9.8km, Night Factor: 0.1","","70","9.8","15","-90","90","5","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","1","0","0","1","0","0.1"
"Eyeball 20/10e.nf","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 12km, Ref: 1.718875km, Night Factor: 0.1          Mk-1 eyeball 20/10 vision","human vision, 20/10","12","1.718875","360","-90","90","3","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","0","0","1","0","0.5"
"Eyeball 20/10f.nf","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 3km, Ref: 1.718875km, Night Factor: 0.1          Mk-1 eyeball 20/10 vision","human vision, 20/10","3","1.718875","360","-90","90","1","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","0","0","1","0","0.5"
"F2H-2P Photo 1","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 225km, Ref: 9km, Night Factor: 0.5          Film camera system","Was this real time?","225","9","56.2","-44.1","12.1","13.32","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","12","1","1","0","0","0","1","1","1","1","0","0.5"
"F2H-2P Photo 2","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 225km, Ref: 5km, Night Factor: 0.5          Film camera system","","225","5","360","-90","-50.175","40.38","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","12","1","1","0","0","0","1","1","1","1","0","0.5"
"AAS-28 FLIR","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance, Max Range: 225km, Ref: 2.232km, Night Factor: 1.1          4x magnification FLIR with TV, IR, Grayscale, and LLTV modes.  Is setup as an IR sensor.","","225","2.232436","360","-84","15","10","GenericSensor","0.00375","0.00375","0.00375","75000000000000.0","800000000000000.0","15","1","1","0","0","0","1","0","1","1","1","1.1"
"AAS-28 LLTV","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 225km, Ref: 2.25km, Night Factor: 0.5          4x magnification FLIR with TV, IR, Grayscale, and LLTV modes.  Is setup as an LLTV sensor.","","225","2.25283115","360","-84","15","10","GenericSensor","0.00375","0.00375","0.00375","75000000000000.0","800000000000000.0","9","1","1","0","0","0","1","0","1","1","0","0.5"
"AAR-45 FLIR","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance, Max Range: 225km, Ref: 2.99km, Night Factor: 1.2","","225","2.9918","360","-84","15","10","GenericSensor","0.00375","0.00375","0.00375","75000000000000.0","800000000000000.0","15","1","1","0","0","0","1","0","1","1","1","1.2"
"AAR-45 LLTV","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 225km, Ref: 2.98km, Night Factor: 0.6","","225","2.9815","360","-84","15","10","GenericSensor","0.00375","0.00375","0.00375","75000000000000.0","800000000000000.0","9","1","1","0","0","0","0","0","1","1","0","0.6"
"AAS-35 PAVE-PENNY","","0","0","0","0","0","1900","2999","","","","","","IR Designator, Max Range: 30km, Ref: 20km ","","30","20","270","-90","90","30","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","99","1","0","10","0","1","1","0","0","1","1","1.2"
