DatabaseClass text,ChildClass text,ChildCapacity numeric,LoadTime_s numeric,CycleTime_s numeric
"Harrier FRS.1 2-4","Mk-81","4","360","0.2"
"Harrier FRS.1 2-4","Mk-82","4","360","0.2"
"Harrier FRS.1 2-4","Mk-83","2","240","0.2"
"Harrier FRS.1 3","M117","1","240","0.2"
"Harrier FRS.1 3","Mk-81","1","240","0.2"
"Harrier FRS.1 3","Mk-82","1","240","0.2"
"Harrier FRS.1 3","Mk-83","1","240","0.2"
"Harrier FRS.1a 2-4","100 gallon wing tank","2","240","1"
"Harrier FRS.1a 2-4","190 gallon wing tank","2","240","1"
"Harrier FRS.1a 2-4","300 gallon wing tank","2","240","1"
"Harrier FRS.1a 2-4","68mm SNEB Rockets","36","240","0.1"
"Harrier FRS.1a 2-4","BAe Sea Eagle","2","360","1"
"Harrier FRS.1a 2-4","M117","2","240","0.2"
"Harrier FRS.1a 2-4","Mk-81","4","360","0.2"
"Harrier FRS.1a 2-4","Mk-82","4","360","0.2"
"Harrier FRS.1a 2-4","Mk-83","2","240","0.2"
"Harrier FRS.2 1-5","AIM-120*","2","360","0.2"
"Harrier FRS.2 1-5","AIM-120B","2","360","0.2"
"Harrier FRS.2 1-5","AIM-9*","4","420","0.2"
"Harrier FRS.2 1-5","AIM-9L","4","420","0.2"
"Harrier FRS.2 1-5","ASRAAM","4","420","0.2"
"Harrier FRS.2 2-4","100 gallon wing tank","2","240","1"
"Harrier FRS.2 2-4","190 gallon wing tank","2","240","1"
"Harrier FRS.2 2-4","300 gallon wing tank","2","240","1"
"Harrier FRS.2 2-4","68mm SNEB Rockets","36","240","0.1"
"Harrier FRS.2 2-4","AIM-120*","2","360","0.2"
"Harrier FRS.2 2-4","AIM-120B","2","360","0.2"
"Harrier FRS.2 2-4","BAe Sea Eagle","2","360","1"
"Harrier FRS.2 2-4","M117","2","240","0.2"
"Harrier FRS.2 2-4","Mk-81","4","360","0.2"
"Harrier FRS.2 2-4","Mk-82","4","360","0.2"
"Harrier FRS.2 2-4","Mk-83","2","240","0.2"
"Harrier FRS.51 1-5","R.550 Magic II","2","360","0.2"
"Harrier FRS.51 1-5","R.550 Magic","2","360","0.2"
"Harrier GR.3 1-5","68mm SNEB Rockets","36","240","0.1"
"Harrier GR.3 1-5","AIM-9*","2","360","0.2"
"Harrier GR.3 1-5","M117","2","240","0.2"
"Harrier GR.3 1-5","Mk-81","4","360","0.2"
"Harrier GR.3 1-5","Mk-82","4","360","0.2"
"Harrier GR.3 1-5","Mk-83","2","240","0.2"
"Harrier GR.3 2-4","100 gallon wing tank","2","240","1"
"Harrier GR.3 2-4","190 gallon wing tank","2","240","1"
"Harrier GR.3 2-4","300 gallon wing tank","2","240","1"
"Harrier GR.3 2-4","68mm SNEB Rockets","36","240","0.1"
"Harrier GR.3 2-4","GBU-1/B","4","360","1"
"Harrier GR.3 2-4","GBU-12/B","6","480","1"
"Harrier GR.3 2-4","GBU-16/B","4","360","1"
"Harrier GR.3 2-4","M117","2","240","0.2"
"Harrier GR.3 2-4","Mk-81","4","360","0.2"
"Harrier GR.3 2-4","Mk-82","4","360","0.2"
"Harrier GR.3 2-4","Mk-83","2","240","0.2"
"Harrier GR.3 3","GBU-1/B","1","240","1"
"Harrier GR.3 3","GBU-12/B","1","240","1"
"Harrier GR.3 3","GBU-16/B","1","240","1"
"Harrier GR.3 3","M117","1","240","0.2"
"Harrier GR.3 3","Mk-81","1","240","0.2"
"Harrier GR.3 3","Mk-82","1","240","0.2"
"Harrier GR.3 3","Mk-83","1","240","0.2"
"Harrier GR.5 1-7","68mm SNEB Rockets","36","240","0.1"
"Harrier GR.5 1-7","AIM-9*","2","300","0.2"
"Harrier GR.5 1-7","AIM-9L","2","300","0.2"
"Harrier GR.5 1-7","M117","2","240","0.2"
"Harrier GR.5 1-7","Mk-81","4","360","0.2"
"Harrier GR.5 1-7","Mk-82","4","360","0.2"
"Harrier GR.5 1-7","Mk-83","2","240","0.2"
"Harrier GR.5 2-6","100 gallon wing tank","2","240","1"
"Harrier GR.5 2-6","190 gallon wing tank","2","240","1"
"Harrier GR.5 2-6","300 gallon wing tank","2","240","1"
"Harrier GR.5 2-6","68mm SNEB Rockets","36","240","0.1"
"Harrier GR.5 2-6","GBU-1/B","4","360","1"
"Harrier GR.5 2-6","GBU-12/B","6","480","1"
"Harrier GR.5 2-6","GBU-16/B","4","360","1"
"Harrier GR.5 2-6","M117","2","240","0.2"
"Harrier GR.5 2-6","Mk-81","4","360","0.2"
"Harrier GR.5 2-6","Mk-82","4","360","0.2"
"Harrier GR.5 2-6","Mk-83","2","240","0.2"
"Harrier GR.5 4-6","AIM-9*","2","300","0.2"
"Harrier GR.5 4-6","AIM-9L","2","300","0.2"
"Harrier GR.7 1-9","68mm SNEB Rockets","36","240","0.1"
"Harrier GR.7 1-9","AGM-65D","2","360","1"
"Harrier GR.7 1-9","AIM-9*","2","300","0.2"
"Harrier GR.7 1-9","AIM-9L","2","300","0.2"
"Harrier GR.7 1-9","M117","2","240","0.2"
"Harrier GR.7 1-9","Mk-81","4","360","0.2"
"Harrier GR.7 1-9","Mk-82","4","360","0.2"
"Harrier GR.7 1-9","Mk-83","2","240","0.2"
"Harrier GR.7 2-8","68mm SNEB Rockets","36","240","0.1"
"Harrier GR.7 2-8","AGM-65D","2","360","1"
"Harrier GR.7 2-8","GBU-1/B","4","360","1"
"Harrier GR.7 2-8","GBU-12/B","6","480","1"
"Harrier GR.7 2-8","GBU-16/B","4","360","1"
"Harrier GR.7 2-8","M117","2","240","0.2"
"Harrier GR.7 2-8","Mk-81","4","360","0.2"
"Harrier GR.7 2-8","Mk-82","4","360","0.2"
"Harrier GR.7 2-8","Mk-83","2","240","0.2"
"Harrier GR.7 3-7","100 gallon wing tank","2","240","1"
"Harrier GR.7 3-7","190 gallon wing tank","2","240","1"
"Harrier GR.7 3-7","300 gallon wing tank","2","240","1"
"Harrier GR.7 3-7","68mm SNEB Rockets","36","240","0.1"
"Harrier GR.7 3-7","AGM-65D","2","360","1"
"Harrier GR.7 3-7","GBU-1/B","4","360","1"
"Harrier GR.7 3-7","GBU-12/B","6","480","1"
"Harrier GR.7 3-7","GBU-16/B","4","360","1"
"Harrier GR.7 3-7","M117","2","240","0.2"
"Harrier GR.7 3-7","Mk-81","4","360","0.2"
"Harrier GR.7 3-7","Mk-82","4","360","0.2"
"Harrier GR.7 3-7","Mk-83","2","240","0.2"
"Harrier GR.7 5","GBU-1/B","1","240","1"
"Harrier GR.7 5","GBU-12/B","1","240","1"
"Harrier GR.7 5","GBU-16/B","1","240","1"
"Harrier GR.7 5","M117","1","240","0.2"
"Harrier GR.7 5","Mk-81","1","240","0.2"
"Harrier GR.7 5","Mk-82","1","240","0.2"
"Harrier GR.7 5","Mk-83","1","240","0.2"
"Harrier GR.9 1-9","68mm SNEB Rockets","36","240","0.1"
"Harrier GR.9 1-9","AGM-65D","2","360","1"
"Harrier GR.9 1-9","AIM-9*","2","300","0.2"
"Harrier GR.9 1-9","AIM-9L","2","300","0.2"
"Harrier GR.9 1-9","ASRAAM","2","300","0.2"
"Harrier GR.9 1-9","M117","2","240","0.2"
"Harrier GR.9 1-9","Mk-81","4","360","0.2"
"Harrier GR.9 1-9","Mk-82","4","360","0.2"
"Harrier GR.9 1-9","Mk-83","2","240","0.2"
"Harrier GR.9 2-8","68mm SNEB Rockets","36","240","0.1"
"Harrier GR.9 2-8","AGM-65D","2","360","1"
"Harrier GR.9 2-8","Brimstone","6","420","0.2"
"Harrier GR.9 2-8","GBU-1/B","4","360","1"
"Harrier GR.9 2-8","GBU-12/B","6","480","1"
"Harrier GR.9 2-8","GBU-16/B","4","360","1"
"Harrier GR.9 2-8","M117","2","240","0.2"
"Harrier GR.9 2-8","Mk-81","4","360","0.2"
"Harrier GR.9 2-8","Mk-82","4","360","0.2"
"Harrier GR.9 2-8","Mk-83","2","240","0.2"
"Harrier GR.9 3-7","100 gallon wing tank","2","240","1"
"Harrier GR.9 3-7","190 gallon wing tank","2","240","1"
"Harrier GR.9 3-7","300 gallon wing tank","2","240","1"
"Harrier GR.9 3-7","68mm SNEB Rockets","36","240","0.1"
"Harrier GR.9 3-7","AGM-65D","2","360","1"
"Harrier GR.9 3-7","Brimstone","6","420","0.2"
"Harrier GR.9 3-7","GBU-1/B","4","360","1"
"Harrier GR.9 3-7","GBU-12/B","6","480","1"
"Harrier GR.9 3-7","GBU-16/B","4","360","1"
"Harrier GR.9 3-7","M117","2","240","0.2"
"Harrier GR.9 3-7","Mk-81","4","360","0.2"
"Harrier GR.9 3-7","Mk-82","4","360","0.2"
"Harrier GR.9 3-7","Mk-83","2","240","0.2"
"Harrier GR.9 4-6","AIM-9*","2","300","0.2"
"Harrier GR.9 4-6","AIM-9L","2","300","0.2"
"Harrier GR.9 4-6","ASRAAM","2","300","0.2"
"Harrier GR.9 5","Brimstone","3","360","1"
"Harrier GR.9 5","GBU-1/B","1","240","1"
"Harrier GR.9 5","GBU-12/B","1","240","1"
"Harrier GR.9 5","GBU-16/B","1","240","1"
"Harrier GR.9 5","M117","1","240","0.2"
"Harrier GR.9 5","Mk-81","1","240","0.2"
"Harrier GR.9 5","Mk-82","1","240","0.2"
"Harrier GR.9 5","Mk-83","1","240","0.2"
"Harrier GR.Mk.1 1-5","68mm SNEB Rockets","36","240","0.1"
"Harrier GR.Mk.1 1-5","M117","2","240","0.2"
"Harrier GR.Mk.1 1-5","Mk-81","4","360","0.2"
"Harrier GR.Mk.1 1-5","Mk-82","4","360","0.2"
"Harrier GR.Mk.1 1-5","Mk-83","2","240","0.2"
"Harrier GR.Mk.1 2-4","100 gallon wing tank","2","240","0.2"
"Harrier GR.Mk.1 2-4","190 gallon wing tank","2","240","0.2"
"Harrier GR.Mk.1 2-4","300 gallon wing tank","2","240","0.2"
"Harrier GR.Mk.1 2-4","68mm SNEB Rockets","36","240","0.1"
"Harrier GR.Mk.1 2-4","M117","2","240","0.2"
"Harrier GR.Mk.1 2-4","Mk-81","4","360","0.2"
"Harrier GR.Mk.1 2-4","Mk-82","4","360","0.2"
"Harrier GR.Mk.1 2-4","Mk-83","2","240","0.2"
"Harrier GR.Mk.1 3","M117","1","180","0.2"
"Harrier GR.Mk.1 3","Mk-81","1","180","0.2"
"Harrier GR.Mk.1 3","Mk-82","1","180","0.2"
"Harrier GR.Mk.1 3","Mk-83","1","180","0.2"
"Harrier GR.Mk.5 1-7","AIM-9*","2","30","0.2"
"Harrier GR.Mk.5 1-7","AIM-9B","2","30","0.2"
"Harrier GR.Mk.5 1-7","AIM-9D","2","30","0.2"
"Harrier GR.Mk.5 1-7","AIM-9E","2","30","0.2"
"Harrier GR.Mk.5 1-7","AIM-9G","2","30","0.2"
"Harrier GR.Mk.5 1-7","AIM-9H","2","30","0.2"
"Harrier GR.Mk.5 1-7","AIM-9J","2","30","0.2"
"Harrier GR.Mk.5 1-7","AIM-9L","2","30","0.2"
"Harrier GR.Mk.5 1-7","AIM-9M","2","30","0.2"
"Harrier GR.Mk.5 1-7","AIM-9N","2","30","0.2"
"Harrier GR.Mk.5 1-7","AIM-9P","2","30","0.2"
"Harrier GR.Mk.5 1-7","AIM-9X","2","30","0.2"
"Harrier GR.Mk.5 2-6","AIM-9*","2","30","0.2"
"Harrier GR.Mk.5 2-6","AIM-9B","2","30","0.2"
"Harrier GR.Mk.5 2-6","AIM-9D","2","30","0.2"
"Harrier GR.Mk.5 2-6","AIM-9E","2","30","0.2"
"Harrier GR.Mk.5 2-6","AIM-9G","2","30","0.2"
"Harrier GR.Mk.5 2-6","AIM-9H","2","30","0.2"
"Harrier GR.Mk.5 2-6","AIM-9L","2","30","0.2"
"Harrier GR.Mk.5 2-6","AIM-9M","2","30","0.2"
"Harrier GR.Mk.5 2-6","AIM-9N","2","30","0.2"
"Harrier GR.Mk.5 2-6","AIM-9P","2","30","0.2"
"Harrier GR.Mk.5 2-6","AIM-9X","2","30","0.2"
"Harrier GR.Mk.5 2-6","GBU-1/B","6","30","0.2"
"Harrier GR.Mk.5 2-6","GBU-12/B","6","30","0.2"
"Harrier GR.Mk.5 2-6","GBU-16/B","4","30","0.2"
"Harrier GR.Mk.5 2-6","GBU-24/B","2","30","0.2"
"Harrier GR.Mk.5 2-6","GBU-24B/B","2","30","0.2"
"Harrier GR.Mk.5 2-6","GBU-27","2","30","0.2"
"Harrier GR.Mk.5 2-6","GBU-28B/B","6","30","0.2"
"Harrier GR.Mk.5 2-6","GBU-31A(v)2","2","30","0.2"
"Harrier GR.Mk.5 2-6","GBU-31C(v)4","2","30","0.2"
"Harrier GR.Mk.5 2-6","GBU-32A(v)2","2","30","0.2"
"Harrier GR.Mk.5 2-6","GBU-32C(v)4","2","30","0.2"
"Harrier GR.Mk.5 2-6","M117","6","30","0.2"
"Harrier GR.Mk.5 2-6","Mk-81","6","30","0.2"
"Harrier GR.Mk.5 2-6","Mk-82","6","30","0.2"
"Harrier GR.Mk.5 2-6","Mk-83","4","30","0.2"
"Harrier GR.Mk.5 2-6","Mk-84","2","30","0.2"
"Harrier GR.Mk.5 3-5","100 gallon wing tank","2","30","0.2"
"Harrier GR.Mk.5 3-5","190 gallon wing tank","2","30","0.2"
"Harrier GR.Mk.5 3-5","300 gallon wing tank","2","30","0.2"
"Harrier GR.Mk.5 3-5","AIM-9*","2","30","0.2"
"Harrier GR.Mk.5 3-5","AIM-9B","2","30","0.2"
"Harrier GR.Mk.5 3-5","AIM-9D","2","30","0.2"
"Harrier GR.Mk.5 3-5","AIM-9E","2","30","0.2"
"Harrier GR.Mk.5 3-5","AIM-9G","2","30","0.2"
"Harrier GR.Mk.5 3-5","AIM-9H","2","30","0.2"
"Harrier GR.Mk.5 3-5","AIM-9L","2","30","0.2"
"Harrier GR.Mk.5 3-5","AIM-9M","2","30","0.2"
"Harrier GR.Mk.5 3-5","AIM-9N","2","30","0.2"
"Harrier GR.Mk.5 3-5","AIM-9P","2","30","0.2"
"Harrier GR.Mk.5 3-5","AIM-9X","2","30","0.2"
"Harrier GR.Mk.5 3-5","GBU-1/B","6","30","0.2"
"Harrier GR.Mk.5 3-5","GBU-12/B","6","30","0.2"
"Harrier GR.Mk.5 3-5","GBU-16/B","4","30","0.2"
"Harrier GR.Mk.5 3-5","GBU-24/B","2","30","0.2"
"Harrier GR.Mk.5 3-5","GBU-24B/B","2","30","0.2"
"Harrier GR.Mk.5 3-5","GBU-27","2","30","0.2"
"Harrier GR.Mk.5 3-5","GBU-28B/B","6","30","0.2"
"Harrier GR.Mk.5 3-5","GBU-31A(v)2","2","30","0.2"
"Harrier GR.Mk.5 3-5","GBU-31C(v)4","2","30","0.2"
"Harrier GR.Mk.5 3-5","GBU-32A(v)2","2","30","0.2"
"Harrier GR.Mk.5 3-5","GBU-32C(v)4","2","30","0.2"
"Harrier GR.Mk.5 3-5","M117","6","30","0.2"
"Harrier GR.Mk.5 3-5","Mk-81","6","30","0.2"
"Harrier GR.Mk.5 3-5","Mk-82","6","30","0.2"
"Harrier GR.Mk.5 3-5","Mk-83","4","30","0.2"
"Harrier GR.Mk.5 3-5","Mk-84","2","30","0.2"
"Harrier GR.Mk.5 4","GBU-1/B","1","30","0.2"
"Harrier GR.Mk.5 4","GBU-12/B","1","30","0.2"
"Harrier GR.Mk.5 4","GBU-16/B","1","30","0.2"
"Harrier GR.Mk.5 4","GBU-24/B","1","30","0.2"
"Harrier GR.Mk.5 4","GBU-24B/B","1","30","0.2"
"Harrier GR.Mk.5 4","GBU-27","1","30","0.2"
"Harrier GR.Mk.5 4","GBU-28B/B","1","30","0.2"
"Harrier GR.Mk.5 4","GBU-31A(v)2","1","30","0.2"
"Harrier GR.Mk.5 4","GBU-31C(v)4","1","30","0.2"
"Harrier GR.Mk.5 4","GBU-32A(v)2","1","30","0.2"
"Harrier GR.Mk.5 4","GBU-32C(v)4","1","30","0.2"
"Harrier GR.Mk.5 4","M117","1","30","0.2"
"Harrier GR.Mk.5 4","Mk-81","1","30","0.2"
"Harrier GR.Mk.5 4","Mk-82","1","30","0.2"
"Harrier GR.Mk.5 4","Mk-83","1","30","0.2"
"Harrier GR.Mk.5 4","Mk-84","1","30","0.2"
"Hedgehog","EDS-25A ASW Mortar","10","0","1"
"Hedgehog","Hedgehog","1","180","1"
"Helix Chn Torpedo Launcher","APR-2E","2","720","15"
"Helix Chn Torpedo Launcher","AT-1","2","720","15"
"Helix Chn Torpedo Launcher","VTT-1","2","720","15"
"Helix Chn Torpedo Launcher","Yu-7","2","720","15"
"Helix Torpedo Launcher","APR-2E","2","720","15"
"Helix Torpedo Launcher","AT-1","2","720","15"
"Helix Torpedo Launcher","VTT-1","2","720","15"
"Helix Torpedo Launcher","Yu-7","2","720","15"
"Hind-D Inner Hardpoints","500 liter tank","2","600","0.25"
"Hind-D Inner Hardpoints","FAB-500","2","600","0.1"
"Hind-D Inner Hardpoints","S-5K Rocket","64","640","0.1"
"Hind-D Inner Hardpoints","S-5M Rocket","64","640","0.1"
"Hind-D Outer Hardpoints","S-5K Rocket","64","640","0.1"
"Hind-D Outer Hardpoints","S-5M Rocket","64","640","0.1"
"Hind-D Turret","12.7mm YaKB Burst","59","640","0.33"
"Hind-D Wingtips","9M17MP Skorpion-P","4","640","0.5"
"Hispano-Suzia HS-831","Gen30AA","600","45","0.2"
"Hobart Mk-41 VLS Cells 1-12","BGM-109 TLAM","12","0","1"
"Hobart Mk-41 VLS Cells 1-12","RGM-84D Harpoon","12","0","1"
"Hobart Mk-41 VLS Cells 1-12","RIM-162B","48","0","1"
"Hobart Mk-41 VLS Cells 1-12","RIM-174","12","0","1"
"Hobart Mk-41 VLS Cells 1-12","RIM-66M","12","0","1"
"Hobart Mk-41 VLS Cells 13-24","BGM-109 TLAM","12","0","1"
"Hobart Mk-41 VLS Cells 13-24","RGM-84D Harpoon","12","0","1"
"Hobart Mk-41 VLS Cells 13-24","RIM-162B","48","0","1"
"Hobart Mk-41 VLS Cells 13-24","RIM-174","12","0","1"
"Hobart Mk-41 VLS Cells 13-24","RIM-66M","12","0","1"
"Hobart Mk-41 VLS Cells 25-36","BGM-109 TLAM","12","0","1"
"Hobart Mk-41 VLS Cells 25-36","RGM-84D Harpoon","12","0","1"
"Hobart Mk-41 VLS Cells 25-36","RIM-162B","48","0","1"
"Hobart Mk-41 VLS Cells 25-36","RIM-174","12","0","1"
"Hobart Mk-41 VLS Cells 25-36","RIM-66M","12","0","1"
"Hobart Mk-41 VLS Cells 37-48","BGM-109 TLAM","12","0","1"
"Hobart Mk-41 VLS Cells 37-48","RGM-84D Harpoon","12","0","1"
"Hobart Mk-41 VLS Cells 37-48","RIM-162B","48","0","1"
"Hobart Mk-41 VLS Cells 37-48","RIM-174","12","0","1"
"Hobart Mk-41 VLS Cells 37-48","RIM-66M","12","0","1"
"Hsiung Feng-II x8 Launcher","Hsiung Feng-II","8","30","3"
"ILAS-3 Lupo","A-244S","6","600","2"
"ILAS-3 Triple Torpedo Tube","A-244S Mod1","3","600","3"
"ILAS-3 Triple Torpedo Tube","A-244S","3","600","3"
"Il-38 Weapon Bay","AT-2M","4","30","5"
"Improved Hawk PIP III Launcher","MIM-23C","6","3600","5"
"J-10 Center 6","800 liter tank","1","240","0.2"
"J-10 Center 6","FAB-250","1","240","0.2"
"J-10 Center 6","FAB-500","1","240","0.2"
"J-10 Center 6","Kh-31P","1","360","1"
"J-10 Center 6","TL-10","1","360","1"
"J-10 Center 6","TL-6","1","360","1"
"J-10 Center 6","YJ-62K","1","360","1"
"J-10 Center 6","YJ-7","1","360","1"
"J-10 Center 6","YJ-82K","1","360","1"
"J-10 Center 6","YJ-83K","1","360","1"
"J-10 Center 6","YJ-85K","1","360","1"
"J-10 Fuselage 4-8","FAB-250","2","240","0.2"
"J-10 Fuselage 4-8","FAB-500","2","240","0.2"
"J-10 IWing 3-9","1520 Liter Tank","2","240","0.2"
"J-10 IWing 3-9","FAB-250","2","240","0.2"
"J-10 IWing 3-9","FAB-500","2","240","0.2"
"J-10 IWing 3-9","Kh-31P","2","360","1"
"J-10 IWing 3-9","PL-11 AMR","2","360","1"
"J-10 IWing 3-9","PL-11","2","360","1"
"J-10 IWing 3-9","PL-11A","2","360","1"
"J-10 IWing 3-9","PL-12","2","360","1"
"J-10 IWing 3-9","PL-13","2","360","1"
"J-10 IWing 3-9","PL-7","2","360","1"
"J-10 IWing 3-9","PL-7B","2","360","1"
"J-10 IWing 3-9","PL-8","2","360","1"
"J-10 IWing 3-9","PL-8A","2","360","1"
"J-10 IWing 3-9","PL-8B","2","360","1"
"J-10 IWing 3-9","R-73","2","360","1"
"J-10 IWing 3-9","R-73E","2","360","1"
"J-10 IWing 3-9","R-73M","2","360","1"
"J-10 IWing 3-9","R-73M2","2","360","1"
"J-10 IWing 3-9","R-77","2","360","1"
"J-10 IWing 3-9","R-77PL","2","360","1"
"J-10 IWing 3-9","TL-10","2","360","1"
"J-10 IWing 3-9","TL-6","2","360","1"
"J-10 IWing 3-9","YJ-62K","2","360","1"
"J-10 IWing 3-9","YJ-7","2","360","1"
"J-10 IWing 3-9","YJ-82K","2","360","1"
"J-10 IWing 3-9","YJ-83K","2","360","1"
"J-10 IWing 3-9","YJ-85K","2","360","1"
"J-10 MWing 2-10","FAB-250","2","240","0.2"
"J-10 MWing 2-10","Kh-31P","2","360","1"
"J-10 MWing 2-10","PL-11 AMR","2","360","1"
"J-10 MWing 2-10","PL-11","2","360","1"
"J-10 MWing 2-10","PL-11A","2","360","1"
"J-10 MWing 2-10","PL-12","2","360","1"
"J-10 MWing 2-10","PL-13","2","360","1"
"J-10 MWing 2-10","PL-7","2","360","1"
"J-10 MWing 2-10","PL-7B","2","360","1"
"J-10 MWing 2-10","PL-8","2","360","1"
"J-10 MWing 2-10","PL-8A","2","360","1"
"J-10 MWing 2-10","PL-8B","2","360","1"
"J-10 MWing 2-10","R-73","2","360","1"
"J-10 MWing 2-10","R-73E","2","360","1"
"J-10 MWing 2-10","R-73M","2","360","1"
"J-10 MWing 2-10","R-73M2","2","360","1"
"J-10 MWing 2-10","R-77","2","360","1"
"J-10 MWing 2-10","R-77PL","2","360","1"
"J-10 MWing 2-10","TL-10","2","360","1"
"J-10 MWing 2-10","TL-6","2","360","1"
"J-10 MWing 2-10","YJ-7","2","360","1"
"J-10 MWing 2-10","YJ-82K","2","360","1"
"J-10 MWing 2-10","YJ-83K","2","360","1"
"J-10 MWing 2-10","YJ-85K","2","360","1"
"J-10 OWing 1-11","PL-7","2","360","1"
"J-10 OWing 1-11","PL-7B","2","360","1"
"J-10 OWing 1-11","PL-8","2","360","1"
"J-10 OWing 1-11","PL-8A","2","360","1"
"J-10 OWing 1-11","PL-8B","2","360","1"
"J-10 OWing 1-11","R-73","2","360","1"
"J-10 OWing 1-11","R-73E","2","360","1"
"J-10 OWing 1-11","R-73M","2","360","1"
"J-10 OWing 1-11","R-73M2","2","360","1"
"J-10 OWing 1-11","TL-10","2","360","1"
"J-10 OWing 1-11","YJ-7","2","360","1"
"J-11 F","FAB-100","8","30","1"
"J-11 F","FAB-250","4","30","1"
"J-11 F","FAB-500","4","30","1"
"J-11 F","PL-12","4","30","1"
"J-11 F","PL-8*","4","30","1"
"J-11 F","R-27R","4","30","1"
"J-11 F","R-73M","4","30","1"
"J-11 W1","PL-12","2","30","1"
"J-11 W1","PL-8*","2","30","1"
"J-11 W1","R-27R","2","30","1"
"J-11 W1","R-73M","2","30","1"
"J-11 W1","R-77","2","30","1"
"J-11 W2","FAB-100","8","30","1"
"J-11 W2","FAB-250","4","30","1"
"J-11 W2","FAB-500","4","30","1"
"J-11 W2","PL-12","4","30","1"
"J-11 W2","PL-8*","4","30","1"
"J-11 W2","R-27R","4","30","1"
"J-11 W2","R-73M","4","30","1"
"KD59E Torp Launcher","L5 Mod4","2","600","3"
"KD59E Torp Launcher","MU-90","2","600","3"
"KD59E Torp Launcher","Mk-46 Mod5","2","600","3"
"KD59E Torp Launcher","Stingray","2","600","3"
"KT-184 x 2","3M24E Uran-E","8","1.5","1.5"
"Kashtan 30mm Gun Mount x 2","30mm OP-84 FRAG Tracer AK-306","20","20","0.25"
"Kashtan 30mm Gun Mount x 4","30mm OP-84 FRAG Tracer AK-306","40","20","0.13"
"Kashtan SA-N-11 Mount x 2","9M311 Kashtan","16","200","0.5"
"Kashtan SA-N-11 Mount x 4","9M311 Kashtan","32","300","0.25"
"Kashtan-M 30 mm/54 (1.2in) Kortik x2","30mm OF-84 HE-FRAG Kashtan-M","80","30","0.3"
"Kashtan-M 30 mm/54 (1.2in) Kortik x2","30mm OP-84 FRAG Tracer Kashtan-M","80","30","0.3"
"Kashtan-M 30 mm/54 (1.2in) Kortik","30mm OF-84 HE-FRAG Kashtan-M","40","30","0.6"
"Kashtan-M 30 mm/54 (1.2in) Kortik","30mm OP-84 FRAG Tracer Kashtan-M","40","30","0.6"
"Kashtan-M SA-N-11 x8 Missile Launcher x2","9M311 Kashtan","16","420","0.8"
"Kashtan-M SA-N-11 x8 Missile Launcher x3","9M311 Kashtan","24","540","0.53"
"Kashtan-M SA-N-11 x8 Missile Launcher x8","9M311 Kashtan","64","660","0.2"
"Kashtan-M SA-N-11 x8 Missile Launcher","9M311 Kashtan","8","300","1.6"
"Kfir 01","Tanque de 300 galones","1","1200","2"
"Kfir 03-02","Mk-83","4","1200","1"
"Kfir 03-02","SPICE-1000","2","1200","2"
"Kfir 05-04","Derby","2","600","2"
"Kfir 05-04","Gabriel Mk3A/S","2","1200","2"
"Kfir 05-04","Mk-83","4","1200","1"
"Kfir 05-04","Python 5","2","600","2"
"Kfir 05-04","SPICE-1000","2","1200","2"
"Kfir 05-04","Tanque de 300 galones","2","1200","2"
"Kfir 07-06","Python 5","2","600","2"
"Kgun x2","Mk-9 DC","2","240","1"
"Kgun x4","Mk-9 DC","4","360","1"
"Kgun","Mk-9 DC","1","180","1"
"Kilo SAM Launcher","Igla-M SAM","8","30","2"
"Lanzador 30/70L-simple","Otobreda Compact 30/40L","40","1","0.1"
"Launcher 40/70L","Breda 40/70L","175","1","0.1"
"Launcher 40/70L-1","Breda 40/70L","87","1","0.1"
"Launcher 40/70L-simple","Breda 40/70L","44","1","0.1"
"Luda Mine Rack","EM-12 570Kg","19","420","3"
"Lynx HAS.2 left Pylon","A-244S","1","480","1"
"Lynx HAS.2 left Pylon","AS 12","2","480","1"
"Lynx HAS.2 left Pylon","MU-90","1","480","1"
"Lynx HAS.2 left Pylon","Mk-46 Mod5","1","480","1"
"Lynx HAS.2 left Pylon","Sea Skua","2","480","1"
"Lynx HAS.2 left Pylon","Stingray","1","480","1"
"Lynx HAS.2 right Pylon","A-244S","1","480","1"
"Lynx HAS.2 right Pylon","AS 12","2","480","1"
"Lynx HAS.2 right Pylon","MU-90","1","480","1"
"Lynx HAS.2 right Pylon","Mk-46 Mod5","1","480","1"
"Lynx HAS.2 right Pylon","Sea Skua","2","480","1"
"Lynx HAS.2 right Pylon","Stingray","1","480","1"
"Lynx HMA8 LH","Mk-10 DC","1","480","1"
"Lynx HMA8 LH","Mk-46 Mod5","1","480","1"
"Lynx HMA8 LH","Sea Skua","2","480","1"
"Lynx HMA8 LH","Stingray","1","480","1"
"Lynx HMA8 RH","GB-500","1","480","1"
"Lynx HMA8 RH","Mk-10 DC","1","480","1"
"Lynx HMA8 RH","Mk-46 Mod5","1","480","1"
"Lynx HMA8 RH","Sea Skua","2","480","1"
"Lynx HMA8 RH","Stingray","1","480","1"
"M61 Cannon(675)","20mm PGU","32","30","0.22"
"M61A Cannon(1000)","20mm PGU-28/B","48","600","0.21"
"M61A Cannon","20mm PGU","46","30","0.22"
"MCP10 CM","Chaff-1","135","1200","0.1"
"MCP10 CM","Flare-1","14","120","1"
